ticker,market,sector,name,market_cap,rank,as_of
307950,KOSPI,"차량SW, 내비게이션, 스마트팩토리, AI·클라우드 기반 솔루션, 디지털 전환 컨설팅 및 IT서비스",현대오토에버,7760700000000.0,76,2025-12-31
180640,KOSPI,"지주사업, 경영자문 및 컨설팅",한진칼,7676400000000.0,77,2025-12-31
039490,KOSPI,"유가증권의 매매, 위탁, 인수, 주선",키움증권,7635500000000.0,78,2025-12-31
005940,KOSPI,"증권업,종합금융",NH투자증권,7508700000000.0,79,2025-12-31
161390,KOSPI,타이어 제조,한국타이어앤테크놀로지,7472600000000.0,80,2025-12-31
090430,KOSPI,"화장품,생활용품 제조, 판매",아모레퍼시픽,7142300000000.0,81,2025-12-31
016360,KOSPI,"유가증권의 매매,위탁매매,인수주선",삼성증권,7095500000000.0,82,2025-12-31
011070,KOSPI,기타 전자부품 제조업,LG이노텍,6573800000000.0,83,2025-12-31
950160,KOSDAQ,골관절염 치료제,코오롱티슈진,6555100000000.0,84,2025-12-31
032640,KOSPI,"개인휴대통신서비스,음성서비스,데이터서비스,부가통신/단말기 도소매/프로그램 개발,자료제공",LG유플러스,6519700000000.0,85,2025-12-31
377300,KOSPI,"간편결제, 간편송금 및 기타 금융서비스",카카오페이,6457900000000.0,86,2025-12-31
029780,KOSPI,"신용카드업,상품신용판매,현금서비스,카드론,리스,기업대출,여행업무,통신판매",삼성카드,6388800000000.0,87,2025-12-31
028300,KOSDAQ,"의료기기, 의약외품 등",HLB,6322300000000.0,88,2025-12-31
021240,KOSPI,"렌탈 서비스(정수기,비데, 필터교환 등), 가정용기기 도매,판매,제조,폐기물처리설비,수출(정수기,청정기)",코웨이,6306400000000.0,89,2025-12-31
034220,KOSPI,"고화질, 초대형, 폴더블 고부가가치 디스플레이 제품 개발, 제조",LG디스플레이,6164300000000.0,90,2025-12-31
064400,KOSPI,"컨설팅, 시스템 구축/운영, 토탈 아웃소싱 및 AI, 클라우드·스마트팩토리 등 IT신기술 기반의 DX사업",LG씨엔에스,6142600000000.0,91,2025-12-31
000880,KOSDAQ,기업인수합병,메리츠제1호스팩,6127000000000.0,92,2025-12-31
087010,KOSDAQ,약효지속성 의약품 및 펩타이드 소재,펩트론,6126300000000.0,93,2025-12-31
006260,KOSPI,"전력용전선,일반전선,통신케이블,동선,알루미늄선,공조기,프라스틱사출성형기 제조,도매",LS,5952100000000.0,94,2025-12-31
241560,KOSPI,"Compact Equipment, Heavy Equipment, Portable Power",두산밥캣,5658700000000.0,95,2025-12-31
128940,KOSPI,의약품,한미약품,5621900000000.0,96,2025-12-31
088980,KOSPI,증권투자회사,맥쿼리인프라,5552800000000.0,97,2025-12-31
000250,KOSDAQ,"하메론, 아토로우",삼천당제약,5328800000000.0,98,2025-12-31
078930,KOSPI,지주회사/부동산 임대,GS,5230700000000.0,99,2025-12-31
454910,KOSPI,협동로봇,두산로보틱스,5202000000000.0,100,2025-12-31
001040,KOSPI,지주회사,CJ,5179300000000.0,101,2025-12-31
138930,KOSPI,금융지주회사,BNK금융지주,4932900000000.0,102,2025-12-31
028050,KOSPI,"산업설비,건물,구축물,토목시설의 설계,시공,공사감리",삼성E&A,4914000000000.0,103,2025-12-31
175330,KOSPI,금융지주 회사,JB금융지주,4773800000000.0,104,2025-12-31
009830,KOSPI,"합성수지,유화부문(LDPE,LLDPE)제품 제조,플라스틱가공품(PVC),CA,무기화학제품,부동산업",한화솔루션,4712300000000.0,105,2025-12-31
066970,KOSPI,이차전지 양극활물질,엘앤에프,4703800000000.0,106,2025-12-31
058470,KOSDAQ,Technology,리노공업,4595574555000.0,107,2025-12-31
036570,KOSPI,"인터넷머그게임(리니지),그룹웨어,인터넷커뮤니티 개발,유지,공급",NC,4356200000000.0,108,2025-12-31
062040,KOSPI,"유입, 몰드, 주상, 건식 변압기 등",산일전기,4287400000000.0,109,2025-12-31
251270,KOSPI,온라인·모바일 게임 소프트웨어 개발 및 공급,넷마블,4287000000000.0,110,2025-12-31
001440,KOSPI,"전력선,통신케이블,적산계기,스텐레스압연제품,광케이블,초고압선,알루미늄 제조,도매/전기공사",대한전선,4268300000000.0,111,2025-12-31
022100,KOSPI,EIC 자동화 엔지니어링 및 IT서비스,포스코DX,4182800000000.0,112,2025-12-31
450080,KOSPI,배터리 양극재용 핵심소재 하이니켈 전구체,에코프로머티,4164600000000.0,113,2025-12-31
271560,KOSPI,스낵 등 과자류,오리온,4141900000000.0,114,2025-12-31
004020,KOSPI,"H형강,제철,제강,철근,압연,스테인레스,주강,시트파일 제조,수출입,중기부품(탱크바퀴)제조,판매",현대제철,4130500000000.0,115,2025-12-31
011790,KOSPI,"기초화학원료(PO, PG), 전지용 동박 등을 제조ㆍ판매하는 사업",SKC,4128500000000.0,116,2025-12-31
051900,KOSPI,"화장품,생활용품 제조,도매",LG생활건강,4071900000000.0,117,2025-12-31
