ticker,market,sector,name,market_cap,rank,as_of,source,source_as_of
005930,KOSPI,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",삼성전자,643605600000000,1,2025-12-31,krx_pykrx,2025-12-31
000660,KOSPI,"반도체,컴퓨터,통신기기 제조,도매",SK하이닉스,415169400000000,2,2025-12-31,krx_pykrx,2025-12-31
373220,KOSPI,"2차전지 (소형,ESS,자동차전지)",LG에너지솔루션,96313300000000,3,2025-12-31,krx_pykrx,2025-12-31
207940,KOSPI,바이오의약품,삼성바이오로직스,78483000000000,4,2025-12-31,krx_pykrx,2025-12-31
005380,KOSPI,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",현대차,59331000000000,5,2025-12-31,krx_pykrx,2025-12-31
329180,KOSPI,"선박, 해양플랜트 및 엔진기계 등",HD현대중공업,51685800000000,6,2025-12-31,krx_pykrx,2025-12-31
402340,KOSPI,지주회사,SK스퀘어,41322400000000,7,2025-12-31,krx_pykrx,2025-12-31
012450,KOSPI,"항공기엔진,특수방산장비 제조/정비사업",한화에어로스페이스,46038800000000,8,2025-12-31,krx_pykrx,2025-12-31
034020,KOSPI,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",두산에너빌리티,49228600000000,9,2025-12-31,krx_pykrx,2025-12-31
000270,KOSPI,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",기아,47332900000000,10,2025-12-31,krx_pykrx,2025-12-31
105560,KOSPI,-,KB금융,48216800000000,11,2025-12-31,krx_pykrx,2025-12-31
068270,KOSPI,"램시마, 트룩시마, 허쥬마",셀트리온,42557300000000,12,2025-12-31,krx_pykrx,2025-12-31
028260,KOSPI,"도소매, 건설, 남자용 정장 제조업 등",삼성물산,41332600000000,13,2025-12-31,krx_pykrx,2025-12-31
035420,KOSPI,포털 서비스 및 온라인 광고,NAVER,37756700000000,14,2025-12-31,krx_pykrx,2025-12-31
055550,KOSPI,금융지주회사,신한지주,37817800000000,15,2025-12-31,krx_pykrx,2025-12-31
042660,KOSPI,선박 제조,한화오션,34206000000000,16,2025-12-31,krx_pykrx,2025-12-31
