ticker,market,sector,name,market_cap,rank,as_of,source,source_as_of
005930,KOSPI,통신 및 방송 장비 제조업,삼성전자,,1,2019-02-28,krx_pykrx,2019-02-28
000660,KOSPI,반도체 제조업,SK하이닉스,,2,2019-02-28,krx_pykrx,2019-02-28
051910,KOSPI,기초 화학물질 제조업,LG화학,,3,2019-02-28,krx_pykrx,2019-02-28
005380,KOSPI,자동차용 엔진 및 자동차 제조업,현대차,,4,2019-02-28,krx_pykrx,2019-02-28
068270,KOSPI,기초 의약물질 제조업,셀트리온,,5,2019-02-28,krx_pykrx,2019-02-28
207940,KOSPI,기초 의약물질 제조업,삼성바이오로직스,,6,2019-02-28,krx_pykrx,2019-02-28
005490,KOSPI,1차 철강 제조업,POSCO홀딩스,,7,2019-02-28,krx_pykrx,2019-02-28
015760,KOSPI,전기업,한국전력,,8,2019-02-28,krx_pykrx,2019-02-28
028260,KOSPI,기타 전문 도매업,삼성물산,,9,2019-02-28,krx_pykrx,2019-02-28
035420,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",NAVER,,10,2019-02-28,krx_pykrx,2019-02-28
012330,KOSPI,자동차 신품 부품 제조업,현대모비스,,11,2019-02-28,krx_pykrx,2019-02-28
017670,KOSPI,전기 통신업,SK텔레콤,,12,2019-02-28,krx_pykrx,2019-02-28
055550,KOSPI,기타 금융업,신한지주,,13,2019-02-28,krx_pykrx,2019-02-28
051900,KOSPI,기타 화학제품 제조업,LG생활건강,,14,2019-02-28,krx_pykrx,2019-02-28
034730,KOSPI,기타 금융업,SK,,15,2019-02-28,krx_pykrx,2019-02-28
105560,KOSPI,기타 금융업,KB금융,,16,2019-02-28,krx_pykrx,2019-02-28
018260,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",삼성에스디에스,,17,2019-02-28,krx_pykrx,2019-02-28
032830,KOSPI,보험업,삼성생명,,18,2019-02-28,krx_pykrx,2019-02-28
096770,KOSPI,석유 정제품 제조업,SK이노베이션,,19,2019-02-28,krx_pykrx,2019-02-28
006400,KOSPI,일차전지 및 이차전지 제조업,삼성SDI,,20,2019-02-28,krx_pykrx,2019-02-28
000270,KOSPI,자동차용 엔진 및 자동차 제조업,기아,,21,2019-02-28,krx_pykrx,2019-02-28
033780,KOSPI,담배 제조업,KT&G,,22,2019-02-28,krx_pykrx,2019-02-28
000810,KOSPI,보험업,삼성화재,,23,2019-02-28,krx_pykrx,2019-02-28
003550,KOSPI,기타 금융업,LG,,24,2019-02-28,krx_pykrx,2019-02-28
086790,KOSPI,기타 금융업,하나금융지주,,25,2019-02-28,krx_pykrx,2019-02-28
090430,KOSPI,기타 화학제품 제조업,아모레퍼시픽,,26,2019-02-28,krx_pykrx,2019-02-28
066570,KOSPI,통신 및 방송 장비 제조업,LG전자,,27,2019-02-28,krx_pykrx,2019-02-28
010950,KOSPI,석유 정제품 제조업,S-Oil,,28,2019-02-28,krx_pykrx,2019-02-28
011170,KOSPI,기초 화학물질 제조업,롯데케미칼,,29,2019-02-28,krx_pykrx,2019-02-28
036570,KOSPI,소프트웨어 개발 및 공급업,NC,,30,2019-02-28,krx_pykrx,2019-02-28
251270,KOSPI,소프트웨어 개발 및 공급업,넷마블,,31,2019-02-28,krx_pykrx,2019-02-28
316140,KOSPI,기타 금융업,우리금융지주,,32,2019-02-28,krx_pykrx,2019-02-28
009540,KOSPI,기타 금융업,HD한국조선해양,,33,2019-02-28,krx_pykrx,2019-02-28
035720,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",카카오,,34,2019-02-28,krx_pykrx,2019-02-28
010130,KOSPI,1차 비철금속 제조업,고려아연,,35,2019-02-28,krx_pykrx,2019-02-28
009150,KOSPI,전자부품 제조업,삼성전기,,36,2019-02-28,krx_pykrx,2019-02-28
024110,KOSPI,은행 및 저축기관,기업은행,,37,2019-02-28,krx_pykrx,2019-02-28
034220,KOSPI,전자부품 제조업,LG디스플레이,,38,2019-02-28,krx_pykrx,2019-02-28
030200,KOSPI,전기 통신업,KT,,39,2019-02-28,krx_pykrx,2019-02-28
021240,KOSPI,그외 기타 개인 서비스업,코웨이,,40,2019-02-28,krx_pykrx,2019-02-28
004020,KOSPI,1차 철강 제조업,현대제철,,41,2019-02-28,krx_pykrx,2019-02-28
035250,KOSPI,유원지 및 기타 오락관련 서비스업,강원랜드,,42,2019-02-28,krx_pykrx,2019-02-28
018880,KOSPI,일반 목적용 기계 제조업,한온시스템,,43,2019-02-28,krx_pykrx,2019-02-28
032640,KOSPI,전기 통신업,LG유플러스,,44,2019-02-28,krx_pykrx,2019-02-28
000720,KOSPI,토목 건설업,현대건설,,45,2019-02-28,krx_pykrx,2019-02-28
