ticker,market,sector,name,market_cap,rank,as_of,source,source_as_of
005930,KOSPI,통신 및 방송 장비 제조업,삼성전자,,1,2023-02-28,krx_pykrx,2023-02-28
373220,KOSPI,일차전지 및 이차전지 제조업,LG에너지솔루션,,2,2023-02-28,krx_pykrx,2023-02-28
000660,KOSPI,반도체 제조업,SK하이닉스,,3,2023-02-28,krx_pykrx,2023-02-28
207940,KOSPI,기초 의약물질 제조업,삼성바이오로직스,,4,2023-02-28,krx_pykrx,2023-02-28
051910,KOSPI,기초 화학물질 제조업,LG화학,,5,2023-02-28,krx_pykrx,2023-02-28
006400,KOSPI,일차전지 및 이차전지 제조업,삼성SDI,,6,2023-02-28,krx_pykrx,2023-02-28
005380,KOSPI,자동차용 엔진 및 자동차 제조업,현대차,,7,2023-02-28,krx_pykrx,2023-02-28
035420,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",NAVER,,8,2023-02-28,krx_pykrx,2023-02-28
000270,KOSPI,자동차용 엔진 및 자동차 제조업,기아,,9,2023-02-28,krx_pykrx,2023-02-28
035720,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",카카오,,10,2023-02-28,krx_pykrx,2023-02-28
005490,KOSPI,1차 철강 제조업,POSCO홀딩스,,11,2023-02-28,krx_pykrx,2023-02-28
105560,KOSPI,기타 금융업,KB금융,,12,2023-02-28,krx_pykrx,2023-02-28
028260,KOSPI,기타 전문 도매업,삼성물산,,13,2023-02-28,krx_pykrx,2023-02-28
068270,KOSPI,기초 의약물질 제조업,셀트리온,,14,2023-02-28,krx_pykrx,2023-02-28
012330,KOSPI,자동차 신품 부품 제조업,현대모비스,,15,2023-02-28,krx_pykrx,2023-02-28
055550,KOSPI,기타 금융업,신한지주,,16,2023-02-28,krx_pykrx,2023-02-28
066570,KOSPI,통신 및 방송 장비 제조업,LG전자,,17,2023-02-28,krx_pykrx,2023-02-28
003670,KOSPI,일차전지 및 이차전지 제조업,포스코퓨처엠,,18,2023-02-28,krx_pykrx,2023-02-28
096770,KOSPI,석유 정제품 제조업,SK이노베이션,,19,2023-02-28,krx_pykrx,2023-02-28
032830,KOSPI,보험업,삼성생명,,20,2023-02-28,krx_pykrx,2023-02-28
086790,KOSPI,기타 금융업,하나금융지주,,21,2023-02-28,krx_pykrx,2023-02-28
034730,KOSPI,기타 금융업,SK,,22,2023-02-28,krx_pykrx,2023-02-28
003550,KOSPI,기타 금융업,LG,,23,2023-02-28,krx_pykrx,2023-02-28
323410,KOSPI,은행 및 저축기관,카카오뱅크,,24,2023-02-28,krx_pykrx,2023-02-28
033780,KOSPI,담배 제조업,KT&G,,25,2023-02-28,krx_pykrx,2023-02-28
010130,KOSPI,1차 비철금속 제조업,고려아연,,26,2023-02-28,krx_pykrx,2023-02-28
015760,KOSPI,전기업,한국전력,,27,2023-02-28,krx_pykrx,2023-02-28
011200,KOSPI,해상 운송업,HMM,,28,2023-02-28,krx_pykrx,2023-02-28
009150,KOSPI,전자부품 제조업,삼성전기,,29,2023-02-28,krx_pykrx,2023-02-28
051900,KOSPI,기타 화학제품 제조업,LG생활건강,,30,2023-02-28,krx_pykrx,2023-02-28
034020,KOSPI,일반 목적용 기계 제조업,두산에너빌리티,,31,2023-02-28,krx_pykrx,2023-02-28
000810,KOSPI,보험업,삼성화재,,32,2023-02-28,krx_pykrx,2023-02-28
017670,KOSPI,전기 통신업,SK텔레콤,,33,2023-02-28,krx_pykrx,2023-02-28
018260,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",삼성에스디에스,,34,2023-02-28,krx_pykrx,2023-02-28
329180,KOSPI,선박 및 보트 건조업,HD현대중공업,,35,2023-02-28,krx_pykrx,2023-02-28
036570,KOSPI,소프트웨어 개발 및 공급업,NC,,36,2023-02-28,krx_pykrx,2023-02-28
010950,KOSPI,석유 정제품 제조업,S-Oil,,37,2023-02-28,krx_pykrx,2023-02-28
316140,KOSPI,기타 금융업,우리금융지주,,38,2023-02-28,krx_pykrx,2023-02-28
024110,KOSPI,은행 및 저축기관,기업은행,,39,2023-02-28,krx_pykrx,2023-02-28
377300,KOSPI,금융 지원 서비스업,카카오페이,,40,2023-02-28,krx_pykrx,2023-02-28
003490,KOSPI,항공 여객 운송업,대한항공,,41,2023-02-28,krx_pykrx,2023-02-28
259960,KOSPI,소프트웨어 개발 및 공급업,크래프톤,,42,2023-02-28,krx_pykrx,2023-02-28
090430,KOSPI,기타 화학제품 제조업,아모레퍼시픽,,43,2023-02-28,krx_pykrx,2023-02-28
030200,KOSPI,전기 통신업,KT,,44,2023-02-28,krx_pykrx,2023-02-28
009830,KOSPI,기초 화학물질 제조업,한화솔루션,,45,2023-02-28,krx_pykrx,2023-02-28
138040,KOSPI,기타 금융업,메리츠금융지주,,46,2023-02-28,krx_pykrx,2023-02-28
011170,KOSPI,기초 화학물질 제조업,롯데케미칼,,47,2023-02-28,krx_pykrx,2023-02-28
352820,KOSPI,오디오물 출판 및 원판 녹음업,하이브,,48,2023-02-28,krx_pykrx,2023-02-28
011070,KOSPI,전자부품 제조업,LG이노텍,,49,2023-02-28,krx_pykrx,2023-02-28
086280,KOSPI,기타 운송관련 서비스업,현대글로비스,,50,2023-02-28,krx_pykrx,2023-02-28
009540,KOSPI,기타 금융업,HD한국조선해양,,51,2023-02-28,krx_pykrx,2023-02-28
