ticker,market,sector,name,market_cap,rank,as_of,source,source_as_of
005930,KOSPI,통신 및 방송 장비 제조업,삼성전자,,1,2022-12-29,krx_pykrx,2022-12-29
373220,KOSPI,일차전지 및 이차전지 제조업,LG에너지솔루션,,2,2022-12-29,krx_pykrx,2022-12-29
207940,KOSPI,기초 의약물질 제조업,삼성바이오로직스,,3,2022-12-29,krx_pykrx,2022-12-29
000660,KOSPI,반도체 제조업,SK하이닉스,,4,2022-12-29,krx_pykrx,2022-12-29
051910,KOSPI,기초 화학물질 제조업,LG화학,,5,2022-12-29,krx_pykrx,2022-12-29
006400,KOSPI,일차전지 및 이차전지 제조업,삼성SDI,,6,2022-12-29,krx_pykrx,2022-12-29
005380,KOSPI,자동차용 엔진 및 자동차 제조업,현대차,,7,2022-12-29,krx_pykrx,2022-12-29
035420,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",NAVER,,8,2022-12-29,krx_pykrx,2022-12-29
000270,KOSPI,자동차용 엔진 및 자동차 제조업,기아,,9,2022-12-29,krx_pykrx,2022-12-29
035720,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",카카오,,10,2022-12-29,krx_pykrx,2022-12-29
005490,KOSPI,1차 철강 제조업,POSCO홀딩스,,11,2022-12-29,krx_pykrx,2022-12-29
068270,KOSPI,기초 의약물질 제조업,셀트리온,,12,2022-12-29,krx_pykrx,2022-12-29
028260,KOSPI,기타 전문 도매업,삼성물산,,13,2022-12-29,krx_pykrx,2022-12-29
105560,KOSPI,기타 금융업,KB금융,,14,2022-12-29,krx_pykrx,2022-12-29
012330,KOSPI,자동차 신품 부품 제조업,현대모비스,,15,2022-12-29,krx_pykrx,2022-12-29
055550,KOSPI,기타 금융업,신한지주,,16,2022-12-29,krx_pykrx,2022-12-29
066570,KOSPI,통신 및 방송 장비 제조업,LG전자,,17,2022-12-29,krx_pykrx,2022-12-29
032830,KOSPI,보험업,삼성생명,,18,2022-12-29,krx_pykrx,2022-12-29
096770,KOSPI,석유 정제품 제조업,SK이노베이션,,19,2022-12-29,krx_pykrx,2022-12-29
015760,KOSPI,전기업,한국전력,,20,2022-12-29,krx_pykrx,2022-12-29
034730,KOSPI,기타 금융업,SK,,21,2022-12-29,krx_pykrx,2022-12-29
003670,KOSPI,일차전지 및 이차전지 제조업,포스코퓨처엠,,22,2022-12-29,krx_pykrx,2022-12-29
086790,KOSPI,기타 금융업,하나금융지주,,23,2022-12-29,krx_pykrx,2022-12-29
033780,KOSPI,담배 제조업,KT&G,,24,2022-12-29,krx_pykrx,2022-12-29
003550,KOSPI,기타 금융업,LG,,25,2022-12-29,krx_pykrx,2022-12-29
323410,KOSPI,은행 및 저축기관,카카오뱅크,,26,2022-12-29,krx_pykrx,2022-12-29
010130,KOSPI,1차 비철금속 제조업,고려아연,,27,2022-12-29,krx_pykrx,2022-12-29
051900,KOSPI,기타 화학제품 제조업,LG생활건강,,28,2022-12-29,krx_pykrx,2022-12-29
017670,KOSPI,전기 통신업,SK텔레콤,,29,2022-12-29,krx_pykrx,2022-12-29
329180,KOSPI,선박 및 보트 건조업,HD현대중공업,,30,2022-12-29,krx_pykrx,2022-12-29
036570,KOSPI,소프트웨어 개발 및 공급업,NC,,31,2022-12-29,krx_pykrx,2022-12-29
034020,KOSPI,일반 목적용 기계 제조업,두산에너빌리티,,32,2022-12-29,krx_pykrx,2022-12-29
009150,KOSPI,전자부품 제조업,삼성전기,,33,2022-12-29,krx_pykrx,2022-12-29
018260,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",삼성에스디에스,,34,2022-12-29,krx_pykrx,2022-12-29
011200,KOSPI,해상 운송업,HMM,,35,2022-12-29,krx_pykrx,2022-12-29
010950,KOSPI,석유 정제품 제조업,S-Oil,,36,2022-12-29,krx_pykrx,2022-12-29
000810,KOSPI,보험업,삼성화재,,37,2022-12-29,krx_pykrx,2022-12-29
030200,KOSPI,전기 통신업,KT,,38,2022-12-29,krx_pykrx,2022-12-29
003490,KOSPI,항공 여객 운송업,대한항공,,39,2022-12-29,krx_pykrx,2022-12-29
316140,KOSPI,기타 금융업,우리금융지주,,40,2022-12-29,krx_pykrx,2022-12-29
009830,KOSPI,기초 화학물질 제조업,한화솔루션,,41,2022-12-29,krx_pykrx,2022-12-29
259960,KOSPI,소프트웨어 개발 및 공급업,크래프톤,,42,2022-12-29,krx_pykrx,2022-12-29
090430,KOSPI,기타 화학제품 제조업,아모레퍼시픽,,43,2022-12-29,krx_pykrx,2022-12-29
024110,KOSPI,은행 및 저축기관,기업은행,,44,2022-12-29,krx_pykrx,2022-12-29
377300,KOSPI,금융 지원 서비스업,카카오페이,,45,2022-12-29,krx_pykrx,2022-12-29
352820,KOSPI,오디오물 출판 및 원판 녹음업,하이브,,46,2022-12-29,krx_pykrx,2022-12-29
011170,KOSPI,기초 화학물질 제조업,롯데케미칼,,47,2022-12-29,krx_pykrx,2022-12-29
086280,KOSPI,기타 운송관련 서비스업,현대글로비스,,48,2022-12-29,krx_pykrx,2022-12-29
011070,KOSPI,전자부품 제조업,LG이노텍,,49,2022-12-29,krx_pykrx,2022-12-29
302440,KOSPI,기초 의약물질 제조업,SK바이오사이언스,,50,2022-12-29,krx_pykrx,2022-12-29
097950,KOSPI,기타 식품 제조업,CJ제일제당,,51,2022-12-29,krx_pykrx,2022-12-29
326030,KOSPI,자연과학 및 공학 연구개발업,SK바이오팜,,52,2022-12-29,krx_pykrx,2022-12-29
000060,KOSPI,,,,53,2022-12-29,krx_pykrx,2022-12-29
383220,KOSPI,봉제의복 제조업,F&F,,54,2022-12-29,krx_pykrx,2022-12-29
138040,KOSPI,기타 금융업,메리츠금융지주,,55,2022-12-29,krx_pykrx,2022-12-29
251270,KOSPI,소프트웨어 개발 및 공급업,넷마블,,56,2022-12-29,krx_pykrx,2022-12-29
271560,KOSPI,기타 식품 제조업,오리온,,57,2022-12-29,krx_pykrx,2022-12-29
009540,KOSPI,기타 금융업,HD한국조선해양,,58,2022-12-29,krx_pykrx,2022-12-29
047810,KOSPI,"항공기,우주선 및 부품 제조업",한국항공우주,,59,2022-12-29,krx_pykrx,2022-12-29
035250,KOSPI,유원지 및 기타 오락관련 서비스업,강원랜드,,60,2022-12-29,krx_pykrx,2022-12-29
402340,KOSPI,기타 금융업,SK스퀘어,,61,2022-12-29,krx_pykrx,2022-12-29
032640,KOSPI,전기 통신업,LG유플러스,,62,2022-12-29,krx_pykrx,2022-12-29
005830,KOSPI,보험업,DB손해보험,,63,2022-12-29,krx_pykrx,2022-12-29
010140,KOSPI,선박 및 보트 건조업,삼성중공업,,64,2022-12-29,krx_pykrx,2022-12-29
267250,KOSPI,기타 금융업,HD현대,,65,2022-12-29,krx_pykrx,2022-12-29
034220,KOSPI,전자부품 제조업,LG디스플레이,,66,2022-12-29,krx_pykrx,2022-12-29
028050,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",삼성E&A,,67,2022-12-29,krx_pykrx,2022-12-29
018880,KOSPI,일반 목적용 기계 제조업,한온시스템,,68,2022-12-29,krx_pykrx,2022-12-29
021240,KOSPI,그외 기타 개인 서비스업,코웨이,,69,2022-12-29,krx_pykrx,2022-12-29
000100,KOSPI,의약품 제조업,유한양행,,70,2022-12-29,krx_pykrx,2022-12-29
078930,KOSPI,기타 금융업,GS,,71,2022-12-29,krx_pykrx,2022-12-29
004020,KOSPI,1차 철강 제조업,현대제철,,72,2022-12-29,krx_pykrx,2022-12-29
000720,KOSPI,토목 건설업,현대건설,,73,2022-12-29,krx_pykrx,2022-12-29
361610,KOSPI,일차전지 및 이차전지 제조업,SK아이이테크놀로지,,74,2022-12-29,krx_pykrx,2022-12-29
161390,KOSPI,고무제품 제조업,한국타이어앤테크놀로지,,75,2022-12-29,krx_pykrx,2022-12-29
008560,KOSPI,,,,76,2022-12-29,krx_pykrx,2022-12-29
006800,KOSPI,금융 지원 서비스업,미래에셋증권,,77,2022-12-29,krx_pykrx,2022-12-29
011780,KOSPI,기초 화학물질 제조업,금호석유화학,,78,2022-12-29,krx_pykrx,2022-12-29
282330,KOSPI,종합 소매업,BGF리테일,,79,2022-12-29,krx_pykrx,2022-12-29
128940,KOSPI,의약품 제조업,한미약품,,80,2022-12-29,krx_pykrx,2022-12-29
012450,KOSPI,"항공기,우주선 및 부품 제조업",한화에어로스페이스,,81,2022-12-29,krx_pykrx,2022-12-29
010620,KOSPI,,,,82,2022-12-29,krx_pykrx,2022-12-29
011790,KOSPI,기타 화학제품 제조업,SKC,,83,2022-12-29,krx_pykrx,2022-12-29
241560,KOSPI,특수 목적용 기계 제조업,두산밥캣,,84,2022-12-29,krx_pykrx,2022-12-29
036460,KOSPI,연료용 가스 제조 및 배관공급업,한국가스공사,,85,2022-12-29,krx_pykrx,2022-12-29
029780,KOSPI,기타 금융업,삼성카드,,86,2022-12-29,krx_pykrx,2022-12-29
008770,KOSPI,기타 상품 전문 소매업,호텔신라,,87,2022-12-29,krx_pykrx,2022-12-29
004990,KOSPI,기타 금융업,롯데지주,,88,2022-12-29,krx_pykrx,2022-12-29
028670,KOSPI,해상 운송업,팬오션,,89,2022-12-29,krx_pykrx,2022-12-29
137310,KOSPI,의료용 기기 제조업,에스디바이오센서,,90,2022-12-29,krx_pykrx,2022-12-29
064350,KOSPI,그외 기타 운송장비 제조업,현대로템,,91,2022-12-29,krx_pykrx,2022-12-29
002790,KOSPI,기타 화학제품 제조업,아모레퍼시픽홀딩스,,92,2022-12-29,krx_pykrx,2022-12-29
003410,KOSPI,,,,93,2022-12-29,krx_pykrx,2022-12-29
112610,KOSPI,"구조용 금속제품, 탱크 및 증기발생기 제조업",씨에스윈드,,94,2022-12-29,krx_pykrx,2022-12-29
007070,KOSPI,종합 소매업,GS리테일,,95,2022-12-29,krx_pykrx,2022-12-29
071050,KOSPI,기타 금융업,한국금융지주,,96,2022-12-29,krx_pykrx,2022-12-29
005940,KOSPI,금융 지원 서비스업,NH투자증권,,97,2022-12-29,krx_pykrx,2022-12-29
016360,KOSPI,금융 지원 서비스업,삼성증권,,98,2022-12-29,krx_pykrx,2022-12-29
139480,KOSPI,종합 소매업,이마트,,99,2022-12-29,krx_pykrx,2022-12-29
047050,KOSPI,상품 중개업,포스코인터내셔널,,100,2022-12-29,krx_pykrx,2022-12-29
001450,KOSPI,보험업,현대해상,,101,2022-12-29,krx_pykrx,2022-12-29
030000,KOSPI,광고업,제일기획,,102,2022-12-29,krx_pykrx,2022-12-29
023530,KOSPI,종합 소매업,롯데쇼핑,,103,2022-12-29,krx_pykrx,2022-12-29
001040,KOSPI,기타 금융업,CJ,,104,2022-12-29,krx_pykrx,2022-12-29
006040,KOSPI,기타 금융업,동원산업,,105,2022-12-29,krx_pykrx,2022-12-29
180640,KOSPI,기타 금융업,한진칼,,106,2022-12-29,krx_pykrx,2022-12-29
088350,KOSPI,보험업,한화생명,,107,2022-12-29,krx_pykrx,2022-12-29
020150,KOSPI,전자부품 제조업,롯데에너지머티리얼즈,,108,2022-12-29,krx_pykrx,2022-12-29
012750,KOSPI,"경비, 경호 및 탐정업",에스원,,109,2022-12-29,krx_pykrx,2022-12-29
006260,KOSPI,기타 금융업,LS,,110,2022-12-29,krx_pykrx,2022-12-29
000120,KOSPI,도로 화물 운송업,CJ대한통운,,111,2022-12-29,krx_pykrx,2022-12-29
004170,KOSPI,종합 소매업,신세계,,112,2022-12-29,krx_pykrx,2022-12-29
004370,KOSPI,기타 식품 제조업,농심,,113,2022-12-29,krx_pykrx,2022-12-29
138930,KOSPI,기타 금융업,BNK금융지주,,114,2022-12-29,krx_pykrx,2022-12-29
014680,KOSPI,기초 화학물질 제조업,한솔케미칼,,115,2022-12-29,krx_pykrx,2022-12-29
039490,KOSPI,금융 지원 서비스업,키움증권,,116,2022-12-29,krx_pykrx,2022-12-29
052690,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",한전기술,,117,2022-12-29,krx_pykrx,2022-12-29
008930,KOSPI,기타 금융업,한미사이언스,,118,2022-12-29,krx_pykrx,2022-12-29
026960,KOSPI,음·식료품 및 담배 도매업,동서,,119,2022-12-29,krx_pykrx,2022-12-29
042660,KOSPI,선박 및 보트 건조업,한화오션,,120,2022-12-29,krx_pykrx,2022-12-29
272210,KOSPI,전자부품 제조업,한화시스템,,121,2022-12-29,krx_pykrx,2022-12-29
081660,KOSPI,생활용품 도매업,미스토홀딩스,,122,2022-12-29,krx_pykrx,2022-12-29
111770,KOSPI,상품 종합 도매업,영원무역,,123,2022-12-29,krx_pykrx,2022-12-29
079550,KOSPI,무기 및 총포탄 제조업,LIG디펜스앤에어로스페이스,,124,2022-12-29,krx_pykrx,2022-12-29
000080,KOSPI,알코올음료 제조업,하이트진로,,125,2022-12-29,krx_pykrx,2022-12-29
000880,KOSPI,기타 화학제품 제조업,한화,,126,2022-12-29,krx_pykrx,2022-12-29
001440,KOSPI,절연선 및 케이블 제조업,대한전선,,127,2022-12-29,krx_pykrx,2022-12-29
002380,KOSPI,기타 화학제품 제조업,KCC,,128,2022-12-29,krx_pykrx,2022-12-29
336260,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",두산퓨얼셀,,129,2022-12-29,krx_pykrx,2022-12-29
007310,KOSPI,기타 식품 제조업,오뚜기,,130,2022-12-29,krx_pykrx,2022-12-29
010060,KOSPI,기타 금융업,OCI홀딩스,,131,2022-12-29,krx_pykrx,2022-12-29
069620,KOSPI,의약품 제조업,대웅제약,,132,2022-12-29,krx_pykrx,2022-12-29
204320,KOSPI,자동차 신품 부품 제조업,HL만도,,133,2022-12-29,krx_pykrx,2022-12-29
006360,KOSPI,건물 건설업,GS건설,,134,2022-12-29,krx_pykrx,2022-12-29
000990,KOSPI,반도체 제조업,DB하이텍,,135,2022-12-29,krx_pykrx,2022-12-29
047040,KOSPI,건물 건설업,대우건설,,136,2022-12-29,krx_pykrx,2022-12-29
010120,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",LS ELECTRIC,,137,2022-12-29,krx_pykrx,2022-12-29
005300,KOSPI,비알코올음료 및 얼음 제조업,롯데칠성,,138,2022-12-29,krx_pykrx,2022-12-29
006280,KOSPI,의약품 제조업,녹십자,,139,2022-12-29,krx_pykrx,2022-12-29
042670,KOSPI,,,,140,2022-12-29,krx_pykrx,2022-12-29
298050,KOSPI,화학섬유 제조업,HS효성첨단소재,,141,2022-12-29,krx_pykrx,2022-12-29
298020,KOSPI,화학섬유 제조업,효성티앤씨,,142,2022-12-29,krx_pykrx,2022-12-29
051600,KOSPI,전기 및 통신 공사업,한전KPS,,143,2022-12-29,krx_pykrx,2022-12-29
000150,KOSPI,전자부품 제조업,두산,,144,2022-12-29,krx_pykrx,2022-12-29
000240,KOSPI,기타 금융업,한국앤컴퍼니,,145,2022-12-29,krx_pykrx,2022-12-29
001120,KOSPI,상품 중개업,LX인터내셔널,,146,2022-12-29,krx_pykrx,2022-12-29
069960,KOSPI,종합 소매업,현대백화점,,147,2022-12-29,krx_pykrx,2022-12-29
004800,KOSPI,기타 금융업,효성,,148,2022-12-29,krx_pykrx,2022-12-29
011210,KOSPI,자동차 신품 부품 제조업,현대위아,,149,2022-12-29,krx_pykrx,2022-12-29
004000,KOSPI,기초 화학물질 제조업,롯데정밀화학,,150,2022-12-29,krx_pykrx,2022-12-29
000210,KOSPI,기초 화학물질 제조업,DL,,151,2022-12-29,krx_pykrx,2022-12-29
003090,KOSPI,의약품 제조업,대웅,,152,2022-12-29,krx_pykrx,2022-12-29
375500,KOSPI,토목 건설업,DL이앤씨,,153,2022-12-29,krx_pykrx,2022-12-29
114090,KOSPI,유원지 및 기타 오락관련 서비스업,GKL,,154,2022-12-29,krx_pykrx,2022-12-29
285130,KOSPI,합성고무 및 플라스틱 물질 제조업,SK케미칼,,155,2022-12-29,krx_pykrx,2022-12-29
014820,KOSPI,플라스틱제품 제조업,동원시스템즈,,156,2022-12-29,krx_pykrx,2022-12-29
000670,KOSPI,1차 비철금속 제조업,영풍,,157,2022-12-29,krx_pykrx,2022-12-29
001230,KOSPI,기타 금융업,동국홀딩스,,158,2022-12-29,krx_pykrx,2022-12-29
005850,KOSPI,자동차 신품 부품 제조업,에스엘,,159,2022-12-29,krx_pykrx,2022-12-29
