ticker,market,name,adv,adv_days,close,market_cap,rank,as_of
450080,KOSPI,,1402871893612.5,4,57200.0,3902581997600.0,1,2023-11-30
005930,KOSPI,,963640081284.05,20,70700.0,422063626285000.0,2,2023-11-30
005490,KOSPI,,524945052494.0,20,597000.0,50489024310000.0,3,2023-11-30
402490,KOSDAQ,,511335886475.0,2,53600.0,438659398400.0,4,2023-11-30
086520,KOSDAQ,,468421928000.0,20,1078000.0,28704626104000.0,5,2023-11-30
000660,KOSPI,,437596946831.65,20,119400.0,86923482381000.0,6,2023-11-30
448280,KOSDAQ,,382681024433.3333,3,80900.0,799052778700.0,7,2023-11-30
454910,KOSPI,,343495653099.2857,14,51400.0,3331746972000.0,8,2023-11-30
247540,KOSDAQ,,277037820280.0,20,306500.0,29976111936000.0,9,2023-11-30
003670,KOSPI,,269944583475.0,20,452000.0,35013375440000.0,10,2023-11-30
022100,KOSDAQ,,265909608427.5,20,58200.0,8848421227800.0,11,2023-11-30
452280,KOSDAQ,,193621411670.0,2,16000.0,272040000000.0,12,2023-11-30
277810,KOSDAQ,,183098753340.0,20,175200.0,3372765739200.0,13,2023-11-30
373220,KOSPI,,177077706473.45,20,536000.0,125424000000000.0,14,2023-11-30
051910,KOSPI,,163711376659.65,20,592000.0,41790667056000.0,15,2023-11-30
006400,KOSPI,,153926457384.55,20,616000.0,42358950480000.0,16,2023-11-30
006740,KOSPI,,146977752818.5,20,48350.0,2247411855800.0,17,2023-11-30
196170,KOSDAQ,,135847934137.5,20,42650.0,2205137470900.0,18,2023-11-30
047050,KOSPI,,126329845585.0,20,84300.0,14830291028400.0,19,2023-11-30
035420,KOSPI,,124821364830.45,20,212000.0,34778406020000.0,20,2023-11-30
372320,KOSDAQ,,123044448281.66667,6,21700.0,295396371200.0,21,2023-11-30
065350,KOSDAQ,,119716809807.5,20,56000.0,1539101088000.0,22,2023-11-30
001570,KOSPI,,118182516620.0,20,128200.0,7442014743400.0,23,2023-11-30
445090,KOSDAQ,,112515786470.0,5,31800.0,336613176000.0,24,2023-11-30
067310,KOSDAQ,,107141225330.0,20,29650.0,1420882971100.0,25,2023-11-30
066970,KOSDAQ,,104761605665.0,20,211000.0,7646592736000.0,26,2023-11-30
328130,KOSDAQ,,104178860550.0,20,231000.0,2860011924000.0,27,2023-11-30
446540,KOSDAQ,,99377243485.0,6,5590.0,116109890000.0,28,2023-11-30
096770,KOSPI,,97449704033.7,20,178800.0,16532842843200.0,29,2023-11-30
042700,KOSPI,,97361528782.5,20,58800.0,5723550957600.0,30,2023-11-30
000270,KOSPI,,82857490835.75,20,79100.0,31801696457300.0,31,2023-11-30
035720,KOSPI,,81711630656.75,20,48900.0,21728768301000.0,32,2023-11-30
451760,KOSDAQ,,78975216038.33333,6,15920.0,228996846080.0,33,2023-11-30
024060,KOSDAQ,,76425178165.5,20,5160.0,77400000000.0,34,2023-11-30
396470,KOSDAQ,,73018503841.11111,9,8860.0,142823200000.0,35,2023-11-30
432720,KOSDAQ,,72152510493.33333,9,20650.0,210496188000.0,36,2023-11-30
005380,KOSPI,,71980311487.5,20,186600.0,39471779019600.0,37,2023-11-30
403870,KOSDAQ,,71418572757.5,20,35350.0,2868970650000.0,38,2023-11-30
066570,KOSPI,,67613643570.75,20,102200.0,16724806590800.0,39,2023-11-30
068270,KOSPI,,66727645575.0,20,146600.0,21462646082000.0,40,2023-11-30
058610,KOSDAQ,,65908294620.0,20,37300.0,827215528000.0,41,2023-11-30
229640,KOSPI,,65009990560.0,20,10130.0,310230024270.0,42,2023-11-30
338220,KOSDAQ,,64306058002.5,20,64200.0,734907415200.0,43,2023-11-30
007660,KOSPI,,63663880912.5,20,33700.0,2131404320300.0,44,2023-11-30
005935,KOSPI,,61849954184.75,20,57600.0,47398273920000.0,45,2023-11-30
440110,KOSDAQ,,60059557826.0,20,41500.0,2011345681500.0,46,2023-11-30
011810,KOSPI,,58091305795.5,20,36250.0,1117549763750.0,47,2023-11-30
111380,KOSPI,,57611241600.0,3,29300.0,179550400000.0,48,2023-11-30
352090,KOSDAQ,,57496171093.333336,3,14920.0,200472565080.0,49,2023-11-30
465770,KOSPI,,53486518910.588234,17,26200.0,187881038400.0,50,2023-11-30
352820,KOSPI,,53383518945.75,20,251000.0,10454676347000.0,51,2023-11-30
105560,KOSPI,,52292100302.65,20,53900.0,21749246780800.0,52,2023-11-30
109610,KOSDAQ,,51987746057.25,20,4960.0,242580704000.0,53,2023-11-30
453860,KOSDAQ,,51902791600.0,1,50700.0,286820800500.0,54,2023-11-30
012450,KOSPI,,51106924680.0,20,114700.0,5807261000000.0,55,2023-11-30
112040,KOSDAQ,,50489639600.0,20,35550.0,1201481999100.0,56,2023-11-30
403490,KOSDAQ,,50377164967.3125,16,3330.0,147258600660.0,57,2023-11-30
009150,KOSPI,,49070501245.0,20,144800.0,10815647180800.0,58,2023-11-30
017670,KOSPI,,48553340663.3,20,48000.0,10503990912000.0,59,2023-11-30
365330,KOSDAQ,,47855746182.0,5,5280.0,161620800000.0,60,2023-11-30
416180,KOSDAQ,,47498564759.09091,11,39050.0,353003330900.0,61,2023-11-30
056080,KOSDAQ,,46765475125.5,20,10590.0,397253689680.0,62,2023-11-30
000100,KOSPI,,45055710535.0,20,70000.0,5364705990000.0,63,2023-11-30
035900,KOSDAQ,,44476642655.0,20,107000.0,3798231644000.0,64,2023-11-30
054450,KOSDAQ,,44015440547.5,20,25800.0,390139550400.0,65,2023-11-30
034020,KOSPI,,43833291590.0,20,16970.0,10870322647620.0,66,2023-11-30
430690,KOSDAQ,,42198525477.14286,14,26450.0,144091003750.0,67,2023-11-30
208370,KOSDAQ,,42178648971.0,20,8400.0,215716737600.0,68,2023-11-30
011070,KOSPI,,42098212037.5,20,272000.0,6437453104000.0,69,2023-11-30
384470,KOSDAQ,,41531080908.23529,17,35000.0,419662215000.0,70,2023-11-30
036930,KOSDAQ,,41460315700.0,20,27950.0,1348565475400.0,71,2023-11-30
000150,KOSPI,,41347181935.0,20,112000.0,1850669520000.0,72,2023-11-30
207940,KOSPI,,40767737924.7,20,736000.0,52384064000000.0,73,2023-11-30
445180,KOSDAQ,,40654205341.818184,11,13660.0,229067108080.0,74,2023-11-30
009520,KOSDAQ,,40280390522.5,20,34600.0,1440837523800.0,75,2023-11-30
000490,KOSPI,,40107859550.5,20,16110.0,387697218750.0,76,2023-11-30
950130,KOSDAQ,,39257796246.0,20,8210.0,298150476670.0,77,2023-11-30
086790,KOSPI,,39175045551.65,20,39650.0,11732572823400.0,78,2023-11-30
250060,KOSDAQ,,38850400558.25,20,2890.0,92975097460.0,79,2023-11-30
009830,KOSPI,,37601894065.0,20,35850.0,6162347415600.0,80,2023-11-30
452160,KOSDAQ,,37545735655.0,2,17550.0,161713966050.0,81,2023-11-30
051900,KOSPI,,36619274320.1,20,476500.0,7442070870500.0,82,2023-11-30
053050,KOSDAQ,,36517004114.25,20,3150.0,94460930550.0,83,2023-11-30
094360,KOSDAQ,,36123228820.0,20,37500.0,361511812500.0,84,2023-11-30
450520,KOSDAQ,,35867601154.666664,15,49100.0,240664926600.0,85,2023-11-30
091990,KOSDAQ,,35208989385.0,20,65400.0,10755992949600.0,86,2023-11-30
452300,KOSDAQ,,35100618222.5,4,8170.0,109039924600.0,87,2023-11-30
004090,KOSPI,,34139425880.5,20,10150.0,128845318000.0,88,2023-11-30
009420,KOSPI,,33751205690.0,20,22600.0,1180638418800.0,89,2023-11-30
