ticker,market,name,adv,adv_days,close,market_cap,rank,as_of
005930,KOSPI,,1197647320858.65,20,59200.0,350442564982400.0,1,2025-08-29
000660,KOSPI,,950149853942.9,20,230500.0,167804545132500.0,2,2025-08-29
034020,KOSPI,,651333486208.75,20,48000.0,30746935008000.0,3,2025-08-29
035420,KOSPI,,386655321194.3,20,200000.0,31687401600000.0,4,2025-08-29
035720,KOSPI,,308069819081.25,20,50000.0,22085564750000.0,5,2025-08-29
042660,KOSPI,,298044301972.5,20,78900.0,24176016786600.0,6,2025-08-29
012450,KOSPI,,226662078070.1,20,936000.0,44269244136000.0,7,2025-08-29
064350,KOSPI,,212039554030.0,20,168300.0,18368647911900.0,8,2025-08-29
015760,KOSPI,,209752819531.05,20,27450.0,17621913913650.0,9,2025-08-29
377300,KOSPI,,208429298712.5,20,57400.0,7731407072200.0,10,2025-08-29
484590,KOSDAQ,,202711078025.0,4,16640.0,685741888000.0,11,2025-08-29
005380,KOSPI,,150969864837.4,20,197000.0,40337279902000.0,12,2025-08-29
196170,KOSDAQ,,144340825925.0,20,393000.0,21011732424000.0,13,2025-08-29
0010V0,KOSDAQ,,140864346273.33334,3,21700.0,110787180000.0,14,2025-08-29
010140,KOSPI,,140772895962.0,20,17250.0,15180000000000.0,15,2025-08-29
105560,KOSPI,,137161420621.05,20,110900.0,42304147222700.0,16,2025-08-29
439260,KOSPI,,133700993171.42857,7,79900.0,3078252328800.0,17,2025-08-29
272210,KOSPI,,118523261028.75,20,51400.0,9710456594600.0,18,2025-08-29
463020,KOSDAQ,,117581524105.35715,14,38400.0,340961280000.0,19,2025-08-29
079550,KOSPI,,117191390354.8,20,458500.0,10087000000000.0,20,2025-08-29
009540,KOSPI,,116732042923.0,20,335500.0,23744380418000.0,21,2025-08-29
329180,KOSPI,,112283089112.5,20,427000.0,37906120532000.0,22,2025-08-29
055550,KOSPI,,110824631708.7,20,60900.0,30196781758500.0,23,2025-08-29
009830,KOSPI,,104804975211.25,20,31100.0,5345857869600.0,24,2025-08-29
006400,KOSPI,,104532686472.5,20,170300.0,11710599459000.0,25,2025-08-29
298040,KOSPI,,104464851505.0,20,682000.0,6359341736000.0,26,2025-08-29
064400,KOSPI,,103335604312.5,20,53300.0,5164021028400.0,27,2025-08-29
005490,KOSPI,,103326572107.0,20,262000.0,21204433424000.0,28,2025-08-29
000720,KOSPI,,103321192082.6,20,72000.0,8017615080000.0,29,2025-08-29
000150,KOSPI,,102417592800.0,20,581000.0,9600348135000.0,30,2025-08-29
267260,KOSPI,,100578202073.7,20,429500.0,15482244482500.0,31,2025-08-29
402340,KOSPI,,94147186154.7,20,129200.0,17124278853600.0,32,2025-08-29
000270,KOSPI,,92854451429.3,20,94500.0,37580063724000.0,33,2025-08-29
456160,KOSDAQ,,89396679425.0,4,121900.0,654078098600.0,34,2025-08-29
234030,KOSDAQ,,88824694000.0,13,10670.0,251865350000.0,35,2025-08-29
051910,KOSPI,,88124515110.2,20,206500.0,14577318829500.0,36,2025-08-29
005935,KOSPI,,87668780613.25,20,49000.0,39982758536000.0,37,2025-08-29
373220,KOSPI,,85746991375.0,20,288500.0,67509000000000.0,38,2025-08-29
052690,KOSPI,,85592664187.5,20,70300.0,2686866000000.0,39,2025-08-29
086790,KOSPI,,84649490093.85,20,78300.0,22293880508700.0,40,2025-08-29
064260,KOSDAQ,,83533716944.35,20,5930.0,408867807200.0,41,2025-08-29
103140,KOSPI,,82250052810.0,20,77000.0,2157869406000.0,42,2025-08-29
278470,KOSPI,,81555379440.0,20,129000.0,4856405595000.0,43,2025-08-29
042700,KOSPI,,81210594035.0,20,82900.0,8009322071100.0,44,2025-08-29
028260,KOSPI,,80534256290.75,20,166300.0,28267099267200.0,45,2025-08-29
462860,KOSDAQ,,79805394502.9,20,3330.0,237806145810.0,46,2025-08-29
298380,KOSDAQ,,78842887817.5,20,78700.0,3819154150900.0,47,2025-08-29
006800,KOSPI,,78659768418.75,20,18170.0,10362649133360.0,48,2025-08-29
068270,KOSPI,,77320589025.0,20,162200.0,36077490387600.0,49,2025-08-29
0008Z0,KOSDAQ,,74925014741.66667,3,39200.0,369913308800.0,50,2025-08-29
007660,KOSPI,,74207288503.75,20,41100.0,3017118900900.0,51,2025-08-29
032820,KOSDAQ,,73811572615.55,20,2325.0,382875029400.0,52,2025-08-29
009150,KOSPI,,72924118980.0,20,129800.0,9695241740800.0,53,2025-08-29
352820,KOSPI,,72771220600.0,20,309000.0,12870497973000.0,54,2025-08-29
