ticker,corp_code,market,name,first_month,last_month,months_in_universe
005950,00145552,KOSPI,,2022-09,2024-05,21
006050,00104537,KOSDAQ,,2019-01,2021-04,18
006120,00131832,KOSPI,,2020-07,2021-05,11
006220,00148832,KOSPI,,2021-03,2026-04,40
006340,00260392,KOSPI,,2019-01,2026-06,42
006390,00164672,KOSPI,,2019-01,2019-04,4
006490,00122825,KOSPI,,2019-01,2022-02,23
006660,00126201,KOSPI,,2024-06,2025-07,11
006740,00141404,KOSPI,,2023-07,2024-03,9
006880,00136402,KOSPI,,2022-05,2023-11,13
006890,00109161,KOSPI,,2019-01,2019-09,9
006910,00267881,KOSDAQ,,2019-01,2026-06,41
006980,00142661,KOSPI,,2019-05,2020-08,16
007110,00146296,KOSPI,,2019-01,2025-12,39
0071M0,01935183,KOSDAQ,,2025-09,2025-10,2
007210,00122898,KOSPI,,2021-06,2022-01,8
007330,00124805,KOSDAQ,,2022-09,2023-03,7
007370,00150536,KOSDAQ,,2020-02,2020-11,10
007390,00117276,KOSDAQ,,2019-01,2026-06,90
007460,00152385,KOSPI,,2019-01,2025-03,75
007540,00130091,KOSPI,,2019-05,2022-12,14
007570,00146454,KOSPI,,2020-03,2022-01,23
007630,00167280,KOSPI,,2019-01,2019-07,7
007700,00126487,KOSPI,,2019-01,2023-04,42
007720,00104810,KOSDAQ,,2019-01,2019-11,11
007810,00152686,KOSPI,,2024-02,2026-06,17
007860,00163114,KOSPI,,2020-08,2022-05,22
007980,00154329,KOSPI,,2022-12,2023-02,3
008040,00137252,KOSPI,,2019-04,2022-11,16
008060,00109189,KOSPI,,2019-01,2020-09,21
008250,00145446,KOSPI,,2019-01,2019-04,4
0082N0,01782183,KOSDAQ,,2026-03,2026-06,4
008350,00107224,KOSPI,,2019-01,2026-06,66
008355,,KOSPI,,2019-01,2019-02,2
008420,00121570,KOSPI,,2019-01,2019-04,4
008560,00163682,KOSPI,,2019-01,2023-03,51
008600,00104999,KOSPI,,2019-01,2019-03,3
008700,00138516,KOSPI,,2019-01,2021-05,17
008830,00109310,KOSDAQ,,2024-12,2026-06,19
0088M0,01780608,KOSDAQ,,2026-03,2026-06,4
008970,00117629,KOSPI,,2019-01,2026-06,19
009070,00103042,KOSPI,,2021-03,2026-04,17
009155,,KOSPI,,2026-06,2026-06,1
009270,00136864,KOSPI,,2019-01,2022-07,24
009290,00103592,KOSPI,,2020-09,2021-02,6
009320,00111689,KOSPI,,2019-01,2021-02,26
009410,00153861,KOSPI,,2019-01,2021-02,26
009460,00163761,KOSPI,,2019-01,2020-07,19
009470,00129271,KOSPI,,2019-01,2025-05,16
009520,00128111,KOSDAQ,,2019-01,2025-05,63
009620,00125822,KOSDAQ,,2021-06,2021-12,7
009680,00151128,KOSPI,,2019-01,2019-06,6
0096B0,01946532,KOSDAQ,,2025-11,2026-01,3
009730,00116426,KOSDAQ,,2019-01,2019-08,8
009835,,KOSPI,,2020-09,2021-01,5
0099X0,01949584,KOSDAQ,,2025-12,2026-01,2
010040,00160205,KOSPI,,2019-01,2019-12,12
010050,00104102,KOSPI,,2021-04,2022-01,10
010145,,KOSPI,,2020-07,2020-11,5
010170,00113261,KOSDAQ,,2019-01,2026-06,34
010240,00167031,KOSDAQ,,2019-01,2019-05,5
0105P0,01954832,KOSDAQ,,2025-12,2026-01,2
010600,00141273,KOSPI,,2019-01,2024-02,18
010660,00166500,KOSPI,,2019-07,2024-06,30
010770,00155124,KOSPI,,2019-01,2025-08,7
010820,00148522,KOSPI,,2022-01,2026-06,33
