ticker,market,name,adv,adv_days,close,market_cap,rank,as_of
005930,KOSPI,,2310405549157.25,20,60100.0,358783931255000.0,1,2021-01-29
005380,KOSPI,,703257264875.0,20,170500.0,36430425883500.0,2,2021-01-29
068270,KOSPI,,618886158650.0,20,277500.0,37460762295000.0,3,2021-01-29
000660,KOSPI,,600012022904.05,20,86300.0,62826604099500.0,4,2021-01-29
091990,KOSDAQ,,585520114775.0,20,91500.0,13886005413000.0,5,2021-01-29
066570,KOSPI,,524439624252.5,20,87100.0,14253724599400.0,6,2021-01-29
051910,KOSPI,,461881036393.75,20,720000.0,50826486960000.0,7,2021-01-29
019170,KOSPI,,375364322165.0,20,133000.0,7047003670000.0,8,2021-01-29
000270,KOSPI,,362794191669.85,20,51600.0,20916748705200.0,9,2021-01-29
163730,KOSDAQ,,354616358000.0,1,29100.0,257215307400.0,10,2021-01-29
068760,KOSDAQ,,347500338065.0,20,114100.0,4085921228200.0,11,2021-01-29
006400,KOSPI,,328093224335.95,20,499000.0,34313500470000.0,12,2021-01-29
096770,KOSPI,,324024608600.0,20,141500.0,13083877306000.0,13,2021-01-29
035720,KOSPI,,319722062642.5,20,370500.0,32695816939500.0,14,2021-01-29
035420,KOSPI,,315918749350.0,20,301000.0,49443281895000.0,15,2021-01-29
348030,KOSDAQ,,310609510200.0,1,31650.0,293680350000.0,16,2021-01-29
005935,KOSPI,,304403481171.9,20,53800.0,44271304460000.0,17,2021-01-29
323990,KOSDAQ,,284887128960.0,20,91900.0,691363700000.0,18,2021-01-29
012330,KOSPI,,262835587752.45,20,229500.0,21815052273000.0,19,2021-01-29
009830,KOSPI,,224772969380.0,20,47900.0,7657509406300.0,20,2021-01-29
006280,KOSPI,,220073321075.0,20,415000.0,4849913270000.0,21,2021-01-29
335810,KOSDAQ,,217483902177.77777,9,26350.0,296275342100.0,22,2021-01-29
003490,KOSPI,,217196161057.5,20,20800.0,3623562030400.0,23,2021-01-29
096530,KOSDAQ,,207712539830.0,20,275100.0,7216978902000.0,24,2021-01-29
015760,KOSPI,,203763807737.5,20,20350.0,13063968966950.0,25,2021-01-29
009900,KOSPI,,199267902434.6154,13,16900.0,689167128000.0,26,2021-01-29
285130,KOSPI,,197667312925.0,20,409000.0,4802230964000.0,27,2021-01-29
195990,KOSDAQ,,191978641505.7,20,814.0,185478708294.0,28,2021-01-29
003090,KOSPI,,177701169162.5,20,24300.0,1412850114000.0,29,2021-01-29
041190,KOSDAQ,,175543317937.75,20,4720.0,396480000000.0,30,2021-01-29
009150,KOSPI,,170194220100.0,20,140500.0,10494464288000.0,31,2021-01-29
069620,KOSPI,,162067326485.0,20,96200.0,1114628515000.0,32,2021-01-29
048410,KOSDAQ,,160824555385.0,20,11150.0,400462028550.0,33,2021-01-29
348150,KOSDAQ,,157938692688.2353,17,29250.0,450911155500.0,34,2021-01-29
318020,KOSDAQ,,153645174111.53845,13,24400.0,150426000000.0,35,2021-01-29
304840,KOSDAQ,,152156706430.0,20,69000.0,379808430000.0,36,2021-01-29
347860,KOSDAQ,,150858277366.8889,9,30500.0,407748217000.0,37,2021-01-29
028260,KOSPI,,147766373500.0,20,115000.0,21492014315000.0,38,2021-01-29
034730,KOSPI,,146325229838.05,20,190500.0,13403636578500.0,39,2021-01-29
271980,KOSPI,,145655431002.5,20,77000.0,1132275144000.0,40,2021-01-29
034220,KOSPI,,143913072240.0,20,14950.0,5349344715000.0,41,2021-01-29
236810,KOSDAQ,,143172085966.66666,3,36500.0,303495602000.0,42,2021-01-29
354200,KOSDAQ,,141664322241.66666,12,25650.0,313329165300.0,43,2021-01-29
207940,KOSPI,,141358777450.0,20,777000.0,51410205000000.0,44,2021-01-29
033180,KOSPI,,132549963977.5,20,3120.0,280934559360.0,45,2021-01-29
011200,KOSPI,,125678099952.5,20,10250.0,3348944810750.0,46,2021-01-29
375500,KOSPI,,123419769500.0,2,126500.0,2448880357000.0,47,2021-01-29
095700,KOSDAQ,,123054946060.0,20,122400.0,2969511271200.0,48,2021-01-29
144510,KOSDAQ,,119865275477.5,20,48950.0,516620943300.0,49,2021-01-29
011210,KOSPI,,117314349622.5,20,43500.0,1182986110500.0,50,2021-01-29
068330,KOSDAQ,,116512272655.0,20,6130.0,271044938200.0,51,2021-01-29
064350,KOSPI,,115044327710.0,20,15400.0,1680791312200.0,52,2021-01-29
063160,KOSPI,,114917076760.0,20,40200.0,220535672400.0,53,2021-01-29
005490,KOSPI,,114666911956.1,20,228000.0,19878598380000.0,54,2021-01-29
055550,KOSPI,,113008338115.0,20,31600.0,16322247986000.0,55,2021-01-29
033270,KOSPI,,111082344517.5,20,50100.0,813865582200.0,56,2021-01-29
092220,KOSPI,,109071266351.25,20,2145.0,250336386300.0,57,2021-01-29
314130,KOSDAQ,,107808245100.0,9,68800.0,907350705600.0,58,2021-01-29
017670,KOSPI,,104615359975.0,20,227000.0,18329276397000.0,59,2021-01-29
086280,KOSPI,,103750541225.0,20,177000.0,6637500000000.0,60,2021-01-29
227950,KOSDAQ,,102197461488.75,20,3400.0,174793010600.0,61,2021-01-29
105560,KOSPI,,101156315576.85,20,42650.0,17734207788000.0,62,2021-01-29
036570,KOSPI,,99834285049.25,20,848000.0,18617010656000.0,63,2021-01-29
011070,KOSPI,,99500173650.0,20,152500.0,3609233817500.0,64,2021-01-29
204320,KOSPI,,98666814080.0,20,38350.0,1800805552000.0,65,2021-01-29
114450,KOSDAQ,,98495259224.5,20,12550.0,188250000000.0,66,2021-01-29
121800,KOSDAQ,,98297091744.5,20,7580.0,266479569280.0,67,2021-01-29
185750,KOSPI,,97801489775.0,20,162500.0,1768923812500.0,68,2021-01-29
005250,KOSPI,,96453693607.5,20,37200.0,1749449412000.0,69,2021-01-29
011780,KOSPI,,96018558775.0,20,153500.0,4676790568500.0,70,2021-01-29
299030,KOSDAQ,,95305826726.66667,15,77400.0,250352854200.0,71,2021-01-29
003550,KOSPI,,94404918308.75,20,73300.0,12648437702300.0,72,2021-01-29
000990,KOSPI,,94342109935.0,20,34950.0,1551730650600.0,73,2021-01-29
336260,KOSPI,,93362249007.5,20,42000.0,2330736492000.0,74,2021-01-29
052420,KOSDAQ,,92333566607.75,20,4545.0,293429049615.0,75,2021-01-29
268600,KOSDAQ,,92171673635.0,20,220500.0,1798642093500.0,76,2021-01-29
082850,KOSDAQ,,91470469362.5,20,3540.0,159009288120.0,77,2021-01-29
010140,KOSPI,,90021113012.0,20,5170.0,3257100000000.0,78,2021-01-29
118990,KOSDAQ,,88127826997.0,20,6520.0,254286774280.0,79,2021-01-29
294090,KOSDAQ,,85118927047.5,20,49050.0,539466467850.0,80,2021-01-29
123040,KOSDAQ,,84936107368.5,20,6360.0,219825710760.0,81,2021-01-29
020560,KOSPI,,83248574249.0,20,3240.0,723282352560.0,82,2021-01-29
028300,KOSDAQ,,81801144200.0,20,93000.0,4896890820000.0,83,2021-01-29
003000,KOSPI,,81767658647.5,20,24600.0,1595014258800.0,84,2021-01-29
005880,KOSPI,,81402025197.5,20,1630.0,398161876700.0,85,2021-01-29
352820,KOSPI,,80862128750.0,20,162000.0,5771049120000.0,86,2021-01-29
053030,KOSDAQ,,80277211817.5,20,27350.0,868391162800.0,87,2021-01-29
011170,KOSPI,,80180598425.0,20,250000.0,8568854750000.0,88,2021-01-29
217600,KOSDAQ,,79607626329.65,20,4650.0,296955231000.0,89,2021-01-29
222080,KOSDAQ,,78854879944.5,20,6910.0,397267481160.0,90,2021-01-29
034020,KOSPI,,76555349925.0,20,14700.0,3721175654700.0,91,2021-01-29
086790,KOSPI,,75584161305.0,20,32550.0,9772879118100.0,92,2021-01-29
003670,KOSPI,,75237767165.0,20,83900.0,5116911658000.0,93,2021-01-29
326030,KOSPI,,73291216750.0,20,168500.0,13195782625000.0,94,2021-01-29
