ticker,as_of,source
AA,2022-01-31,wikipedia_sp400_pit
ACC,2022-01-31,wikipedia_sp400_pit
ACHC,2022-01-31,wikipedia_sp400_pit
ACIW,2022-01-31,wikipedia_sp400_pit
ACM,2022-01-31,wikipedia_sp400_pit
ADNT,2022-01-31,wikipedia_sp400_pit
AEO,2022-01-31,wikipedia_sp400_pit
AFG,2022-01-31,wikipedia_sp400_pit
AGCO,2022-01-31,wikipedia_sp400_pit
AIRC,2022-01-31,wikipedia_sp400_pit
ALE,2022-01-31,wikipedia_sp400_pit
AM,2022-01-31,wikipedia_sp400_pit
AMED,2022-01-31,wikipedia_sp400_pit
AMG,2022-01-31,wikipedia_sp400_pit
AMKR,2022-01-31,wikipedia_sp400_pit
AN,2022-01-31,wikipedia_sp400_pit
APPS,2022-01-31,wikipedia_sp400_pit
ARW,2022-01-31,wikipedia_sp400_pit
ARWR,2022-01-31,wikipedia_sp400_pit
ASB,2022-01-31,wikipedia_sp400_pit
ASGN,2022-01-31,wikipedia_sp400_pit
ASH,2022-01-31,wikipedia_sp400_pit
ATR,2022-01-31,wikipedia_sp400_pit
AVNT,2022-01-31,wikipedia_sp400_pit
AVT,2022-01-31,wikipedia_sp400_pit
AXON,2022-01-31,wikipedia_sp400_pit
AYI,2022-01-31,wikipedia_sp400_pit
AZPN,2022-01-31,wikipedia_sp400_pit
AZTA,2022-01-31,wikipedia_sp400_pit
BC,2022-01-31,wikipedia_sp400_pit
BCO,2022-01-31,wikipedia_sp400_pit
BDC,2022-01-31,wikipedia_sp400_pit
BFH,2022-01-31,wikipedia_sp400_pit
BHF,2022-01-31,wikipedia_sp400_pit
BJ,2022-01-31,wikipedia_sp400_pit
BKH,2022-01-31,wikipedia_sp400_pit
BLD,2022-01-31,wikipedia_sp400_pit
BLDR,2022-01-31,wikipedia_sp400_pit
BLKB,2022-01-31,wikipedia_sp400_pit
BOH,2022-01-31,wikipedia_sp400_pit
BRKR,2022-01-31,wikipedia_sp400_pit
BRX,2022-01-31,wikipedia_sp400_pit
BYD,2022-01-31,wikipedia_sp400_pit
CABO,2022-01-31,wikipedia_sp400_pit
CACI,2022-01-31,wikipedia_sp400_pit
CADE,2022-01-31,wikipedia_sp400_pit
CALX,2022-01-31,wikipedia_sp400_pit
CAR,2022-01-31,wikipedia_sp400_pit
CASY,2022-01-31,wikipedia_sp400_pit
CATY,2022-01-31,wikipedia_sp400_pit
CBRL,2022-01-31,wikipedia_sp400_pit
CBSH,2022-01-31,wikipedia_sp400_pit
CBT,2022-01-31,wikipedia_sp400_pit
CC,2022-01-31,wikipedia_sp400_pit
CCMP,2022-01-31,wikipedia_sp400_pit
CDK,2022-01-31,wikipedia_sp400_pit
CDP,2022-01-31,wikipedia_sp400_pit
CFR,2022-01-31,wikipedia_sp400_pit
CGNX,2022-01-31,wikipedia_sp400_pit
CHDN,2022-01-31,wikipedia_sp400_pit
CHE,2022-01-31,wikipedia_sp400_pit
CHH,2022-01-31,wikipedia_sp400_pit
CHX,2022-01-31,wikipedia_sp400_pit
CIEN,2022-01-31,wikipedia_sp400_pit
CLF,2022-01-31,wikipedia_sp400_pit
CLH,2022-01-31,wikipedia_sp400_pit
CMC,2022-01-31,wikipedia_sp400_pit
CMP,2022-01-31,wikipedia_sp400_pit
CNO,2022-01-31,wikipedia_sp400_pit
CNX,2022-01-31,wikipedia_sp400_pit
CNXC,2022-01-31,wikipedia_sp400_pit
COHR,2022-01-31,wikipedia_sp400_pit
COLM,2022-01-31,wikipedia_sp400_pit
CONE,2022-01-31,wikipedia_sp400_pit
COTY,2022-01-31,wikipedia_sp400_pit
CPRI,2022-01-31,wikipedia_sp400_pit
CPT,2022-01-31,wikipedia_sp400_pit
CRI,2022-01-31,wikipedia_sp400_pit
CRNC,2022-01-31,wikipedia_sp400_pit
CROX,2022-01-31,wikipedia_sp400_pit
CRUS,2022-01-31,wikipedia_sp400_pit
CSL,2022-01-31,wikipedia_sp400_pit
CUZ,2022-01-31,wikipedia_sp400_pit
CVLT,2022-01-31,wikipedia_sp400_pit
CW,2022-01-31,wikipedia_sp400_pit
CXT,2022-01-31,wikipedia_sp400_pit
DAN,2022-01-31,wikipedia_sp400_pit
DAR,2022-01-31,wikipedia_sp400_pit
DCI,2022-01-31,wikipedia_sp400_pit
DECK,2022-01-31,wikipedia_sp400_pit
DEI,2022-01-31,wikipedia_sp400_pit
DINO,2022-01-31,wikipedia_sp400_pit
DKS,2022-01-31,wikipedia_sp400_pit
DOC,2022-01-31,wikipedia_sp400_pit
DTM,2022-01-31,wikipedia_sp400_pit
DY,2022-01-31,wikipedia_sp400_pit
EGP,2022-01-31,wikipedia_sp400_pit
EHC,2022-01-31,wikipedia_sp400_pit
EME,2022-01-31,wikipedia_sp400_pit
ENOV,2022-01-31,wikipedia_sp400_pit
ENR,2022-01-31,wikipedia_sp400_pit
ENS,2022-01-31,wikipedia_sp400_pit
ENV,2022-01-31,wikipedia_sp400_pit
EPR,2022-01-31,wikipedia_sp400_pit
EQT,2022-01-31,wikipedia_sp400_pit
ESNT,2022-01-31,wikipedia_sp400_pit
ETRN,2022-01-31,wikipedia_sp400_pit
EVR,2022-01-31,wikipedia_sp400_pit
EWBC,2022-01-31,wikipedia_sp400_pit
EXE,2022-01-31,wikipedia_sp400_pit
EXEL,2022-01-31,wikipedia_sp400_pit
EXP,2022-01-31,wikipedia_sp400_pit
FAF,2022-01-31,wikipedia_sp400_pit
FCFS,2022-01-31,wikipedia_sp400_pit
FCN,2022-01-31,wikipedia_sp400_pit
FFIN,2022-01-31,wikipedia_sp400_pit
FHI,2022-01-31,wikipedia_sp400_pit
FHN,2022-01-31,wikipedia_sp400_pit
FICO,2022-01-31,wikipedia_sp400_pit
FIVE,2022-01-31,wikipedia_sp400_pit
FL,2022-01-31,wikipedia_sp400_pit
FLG,2022-01-31,wikipedia_sp400_pit
FLO,2022-01-31,wikipedia_sp400_pit
FLR,2022-01-31,wikipedia_sp400_pit
FLS,2022-01-31,wikipedia_sp400_pit
FNB,2022-01-31,wikipedia_sp400_pit
FOXF,2022-01-31,wikipedia_sp400_pit
FR,2022-01-31,wikipedia_sp400_pit
FSLR,2022-01-31,wikipedia_sp400_pit
FULT,2022-01-31,wikipedia_sp400_pit
G,2022-01-31,wikipedia_sp400_pit
GAP,2022-01-31,wikipedia_sp400_pit
GATX,2022-01-31,wikipedia_sp400_pit
GBCI,2022-01-31,wikipedia_sp400_pit
GEF,2022-01-31,wikipedia_sp400_pit
GGG,2022-01-31,wikipedia_sp400_pit
GHC,2022-01-31,wikipedia_sp400_pit
GME,2022-01-31,wikipedia_sp400_pit
GMED,2022-01-31,wikipedia_sp400_pit
GNTX,2022-01-31,wikipedia_sp400_pit
GO,2022-01-31,wikipedia_sp400_pit
GT,2022-01-31,wikipedia_sp400_pit
GTM,2022-01-31,wikipedia_sp400_pit
GXO,2022-01-31,wikipedia_sp400_pit
HAE,2022-01-31,wikipedia_sp400_pit
HAIN,2022-01-31,wikipedia_sp400_pit
HALO,2022-01-31,wikipedia_sp400_pit
HBI,2022-01-31,wikipedia_sp400_pit
HE,2022-01-31,wikipedia_sp400_pit
HELE,2022-01-31,wikipedia_sp400_pit
HIW,2022-01-31,wikipedia_sp400_pit
HOG,2022-01-31,wikipedia_sp400_pit
HOMB,2022-01-31,wikipedia_sp400_pit
HPP,2022-01-31,wikipedia_sp400_pit
HQY,2022-01-31,wikipedia_sp400_pit
HR,2022-01-31,wikipedia_sp400_pit
HRB,2022-01-31,wikipedia_sp400_pit
HUBB,2022-01-31,wikipedia_sp400_pit
HWC,2022-01-31,wikipedia_sp400_pit
HXL,2022-01-31,wikipedia_sp400_pit
IAA,2022-01-31,wikipedia_sp400_pit
