ticker,as_of,source
AA,2024-09-30,wikipedia_sp400_pit
AAL,2024-09-30,wikipedia_sp400_pit
AAON,2024-09-30,wikipedia_sp400_pit
ACHC,2024-09-30,wikipedia_sp400_pit
ACM,2024-09-30,wikipedia_sp400_pit
ADC,2024-09-30,wikipedia_sp400_pit
AFG,2024-09-30,wikipedia_sp400_pit
AGCO,2024-09-30,wikipedia_sp400_pit
AIT,2024-09-30,wikipedia_sp400_pit
ALE,2024-09-30,wikipedia_sp400_pit
ALGM,2024-09-30,wikipedia_sp400_pit
ALLY,2024-09-30,wikipedia_sp400_pit
ALTM,2024-09-30,wikipedia_sp400_pit
ALTR,2024-09-30,wikipedia_sp400_pit
ALV,2024-09-30,wikipedia_sp400_pit
AM,2024-09-30,wikipedia_sp400_pit
AMED,2024-09-30,wikipedia_sp400_pit
AMG,2024-09-30,wikipedia_sp400_pit
AMH,2024-09-30,wikipedia_sp400_pit
AMKR,2024-09-30,wikipedia_sp400_pit
AN,2024-09-30,wikipedia_sp400_pit
ANF,2024-09-30,wikipedia_sp400_pit
APPF,2024-09-30,wikipedia_sp400_pit
AR,2024-09-30,wikipedia_sp400_pit
ARMK,2024-09-30,wikipedia_sp400_pit
ARW,2024-09-30,wikipedia_sp400_pit
ARWR,2024-09-30,wikipedia_sp400_pit
ASB,2024-09-30,wikipedia_sp400_pit
ASGN,2024-09-30,wikipedia_sp400_pit
ASH,2024-09-30,wikipedia_sp400_pit
ATR,2024-09-30,wikipedia_sp400_pit
AVNT,2024-09-30,wikipedia_sp400_pit
AVT,2024-09-30,wikipedia_sp400_pit
AVTR,2024-09-30,wikipedia_sp400_pit
AXTA,2024-09-30,wikipedia_sp400_pit
AYI,2024-09-30,wikipedia_sp400_pit
AZPN,2024-09-30,wikipedia_sp400_pit
AZTA,2024-09-30,wikipedia_sp400_pit
BC,2024-09-30,wikipedia_sp400_pit
BCO,2024-09-30,wikipedia_sp400_pit
BDC,2024-09-30,wikipedia_sp400_pit
BERY,2024-09-30,wikipedia_sp400_pit
BHF,2024-09-30,wikipedia_sp400_pit
BIO,2024-09-30,wikipedia_sp400_pit
BJ,2024-09-30,wikipedia_sp400_pit
BKH,2024-09-30,wikipedia_sp400_pit
BLD,2024-09-30,wikipedia_sp400_pit
BLKB,2024-09-30,wikipedia_sp400_pit
BMRN,2024-09-30,wikipedia_sp400_pit
BRBR,2024-09-30,wikipedia_sp400_pit
BRKR,2024-09-30,wikipedia_sp400_pit
BRX,2024-09-30,wikipedia_sp400_pit
BURL,2024-09-30,wikipedia_sp400_pit
BWXT,2024-09-30,wikipedia_sp400_pit
BYD,2024-09-30,wikipedia_sp400_pit
CACI,2024-09-30,wikipedia_sp400_pit
CADE,2024-09-30,wikipedia_sp400_pit
CAR,2024-09-30,wikipedia_sp400_pit
CASY,2024-09-30,wikipedia_sp400_pit
CBSH,2024-09-30,wikipedia_sp400_pit
CBT,2024-09-30,wikipedia_sp400_pit
CC,2024-09-30,wikipedia_sp400_pit
CCK,2024-09-30,wikipedia_sp400_pit
CDP,2024-09-30,wikipedia_sp400_pit
CELH,2024-09-30,wikipedia_sp400_pit
CFR,2024-09-30,wikipedia_sp400_pit
CG,2024-09-30,wikipedia_sp400_pit
CGNX,2024-09-30,wikipedia_sp400_pit
CHDN,2024-09-30,wikipedia_sp400_pit
CHE,2024-09-30,wikipedia_sp400_pit
