ticker,as_of,source
ACC,2021-07-30,wikipedia_sp400_pit
ACHC,2021-07-30,wikipedia_sp400_pit
ACIW,2021-07-30,wikipedia_sp400_pit
ACM,2021-07-30,wikipedia_sp400_pit
ADNT,2021-07-30,wikipedia_sp400_pit
AEO,2021-07-30,wikipedia_sp400_pit
AFG,2021-07-30,wikipedia_sp400_pit
AGCO,2021-07-30,wikipedia_sp400_pit
AIRC,2021-07-30,wikipedia_sp400_pit
ALE,2021-07-30,wikipedia_sp400_pit
AM,2021-07-30,wikipedia_sp400_pit
AMED,2021-07-30,wikipedia_sp400_pit
AMG,2021-07-30,wikipedia_sp400_pit
AMKR,2021-07-30,wikipedia_sp400_pit
AN,2021-07-30,wikipedia_sp400_pit
ARW,2021-07-30,wikipedia_sp400_pit
ARWR,2021-07-30,wikipedia_sp400_pit
ASB,2021-07-30,wikipedia_sp400_pit
ASGN,2021-07-30,wikipedia_sp400_pit
ASH,2021-07-30,wikipedia_sp400_pit
ATR,2021-07-30,wikipedia_sp400_pit
AVNT,2021-07-30,wikipedia_sp400_pit
AVT,2021-07-30,wikipedia_sp400_pit
AXON,2021-07-30,wikipedia_sp400_pit
AYI,2021-07-30,wikipedia_sp400_pit
AZPN,2021-07-30,wikipedia_sp400_pit
AZTA,2021-07-30,wikipedia_sp400_pit
BC,2021-07-30,wikipedia_sp400_pit
BCO,2021-07-30,wikipedia_sp400_pit
BDC,2021-07-30,wikipedia_sp400_pit
BFH,2021-07-30,wikipedia_sp400_pit
BHF,2021-07-30,wikipedia_sp400_pit
BJ,2021-07-30,wikipedia_sp400_pit
BKH,2021-07-30,wikipedia_sp400_pit
BLD,2021-07-30,wikipedia_sp400_pit
BLDR,2021-07-30,wikipedia_sp400_pit
BLKB,2021-07-30,wikipedia_sp400_pit
BOH,2021-07-30,wikipedia_sp400_pit
BRO,2021-07-30,wikipedia_sp400_pit
BRX,2021-07-30,wikipedia_sp400_pit
BYD,2021-07-30,wikipedia_sp400_pit
CABO,2021-07-30,wikipedia_sp400_pit
CACI,2021-07-30,wikipedia_sp400_pit
CADE,2021-07-30,wikipedia_sp400_pit
CAR,2021-07-30,wikipedia_sp400_pit
CASY,2021-07-30,wikipedia_sp400_pit
CATY,2021-07-30,wikipedia_sp400_pit
CBRL,2021-07-30,wikipedia_sp400_pit
CBSH,2021-07-30,wikipedia_sp400_pit
CBT,2021-07-30,wikipedia_sp400_pit
CC,2021-07-30,wikipedia_sp400_pit
CCMP,2021-07-30,wikipedia_sp400_pit
CDAY,2021-07-30,wikipedia_sp400_pit
CDK,2021-07-30,wikipedia_sp400_pit
CDP,2021-07-30,wikipedia_sp400_pit
CFR,2021-07-30,wikipedia_sp400_pit
CGNX,2021-07-30,wikipedia_sp400_pit
CHDN,2021-07-30,wikipedia_sp400_pit
CHE,2021-07-30,wikipedia_sp400_pit
CHH,2021-07-30,wikipedia_sp400_pit
CHX,2021-07-30,wikipedia_sp400_pit
CIEN,2021-07-30,wikipedia_sp400_pit
CIT,2021-07-30,wikipedia_sp400_pit
CLF,2021-07-30,wikipedia_sp400_pit
CLH,2021-07-30,wikipedia_sp400_pit
CMC,2021-07-30,wikipedia_sp400_pit
CMP,2021-07-30,wikipedia_sp400_pit
CNK,2021-07-30,wikipedia_sp400_pit
CNO,2021-07-30,wikipedia_sp400_pit
CNX,2021-07-30,wikipedia_sp400_pit
CNXC,2021-07-30,wikipedia_sp400_pit
COHR,2021-07-30,wikipedia_sp400_pit
COLM,2021-07-30,wikipedia_sp400_pit
CONE,2021-07-30,wikipedia_sp400_pit
COR,2021-07-30,wikipedia_sp400_pit
COTY,2021-07-30,wikipedia_sp400_pit
CPRI,2021-07-30,wikipedia_sp400_pit
CPT,2021-07-30,wikipedia_sp400_pit
CRI,2021-07-30,wikipedia_sp400_pit
CRNC,2021-07-30,wikipedia_sp400_pit
CROX,2021-07-30,wikipedia_sp400_pit
CRUS,2021-07-30,wikipedia_sp400_pit
CSL,2021-07-30,wikipedia_sp400_pit
CUZ,2021-07-30,wikipedia_sp400_pit
CVLT,2021-07-30,wikipedia_sp400_pit
CW,2021-07-30,wikipedia_sp400_pit
CXT,2021-07-30,wikipedia_sp400_pit
DAN,2021-07-30,wikipedia_sp400_pit
DAR,2021-07-30,wikipedia_sp400_pit
DCI,2021-07-30,wikipedia_sp400_pit
DECK,2021-07-30,wikipedia_sp400_pit
DEI,2021-07-30,wikipedia_sp400_pit
DINO,2021-07-30,wikipedia_sp400_pit
DKS,2021-07-30,wikipedia_sp400_pit
DOC,2021-07-30,wikipedia_sp400_pit
DTM,2021-07-30,wikipedia_sp400_pit
DY,2021-07-30,wikipedia_sp400_pit
EBS,2021-07-30,wikipedia_sp400_pit
EGP,2021-07-30,wikipedia_sp400_pit
EHC,2021-07-30,wikipedia_sp400_pit
EME,2021-07-30,wikipedia_sp400_pit
ENOV,2021-07-30,wikipedia_sp400_pit
ENR,2021-07-30,wikipedia_sp400_pit
ENS,2021-07-30,wikipedia_sp400_pit
ENV,2021-07-30,wikipedia_sp400_pit
EPR,2021-07-30,wikipedia_sp400_pit
EQT,2021-07-30,wikipedia_sp400_pit
ESNT,2021-07-30,wikipedia_sp400_pit
ETRN,2021-07-30,wikipedia_sp400_pit
EVR,2021-07-30,wikipedia_sp400_pit
EWBC,2021-07-30,wikipedia_sp400_pit
EXE,2021-07-30,wikipedia_sp400_pit
EXEL,2021-07-30,wikipedia_sp400_pit
EXP,2021-07-30,wikipedia_sp400_pit
FAF,2021-07-30,wikipedia_sp400_pit
FCFS,2021-07-30,wikipedia_sp400_pit
FCN,2021-07-30,wikipedia_sp400_pit
FDS,2021-07-30,wikipedia_sp400_pit
FFIN,2021-07-30,wikipedia_sp400_pit
FHI,2021-07-30,wikipedia_sp400_pit
FHN,2021-07-30,wikipedia_sp400_pit
FICO,2021-07-30,wikipedia_sp400_pit
FIVE,2021-07-30,wikipedia_sp400_pit
FL,2021-07-30,wikipedia_sp400_pit
FLG,2021-07-30,wikipedia_sp400_pit
FLO,2021-07-30,wikipedia_sp400_pit
FLR,2021-07-30,wikipedia_sp400_pit
FLS,2021-07-30,wikipedia_sp400_pit
FNB,2021-07-30,wikipedia_sp400_pit
