ticker,as_of,source
FLG,2019-10-31,wikipedia_sp400_pit
FLO,2019-10-31,wikipedia_sp400_pit
FLR,2019-10-31,wikipedia_sp400_pit
FNB,2019-10-31,wikipedia_sp400_pit
FR,2019-10-31,wikipedia_sp400_pit
FSLR,2019-10-31,wikipedia_sp400_pit
FULT,2019-10-31,wikipedia_sp400_pit
GAP,2019-10-31,wikipedia_sp400_pit
GATX,2019-10-31,wikipedia_sp400_pit
GDOT,2019-10-31,wikipedia_sp400_pit
GEF,2019-10-31,wikipedia_sp400_pit
GEO,2019-10-31,wikipedia_sp400_pit
GGG,2019-10-31,wikipedia_sp400_pit
GHC,2019-10-31,wikipedia_sp400_pit
GMED,2019-10-31,wikipedia_sp400_pit
GNTX,2019-10-31,wikipedia_sp400_pit
GNW,2019-10-31,wikipedia_sp400_pit
GRUB,2019-10-31,wikipedia_sp400_pit
GT,2019-10-31,wikipedia_sp400_pit
GTM,2019-10-31,wikipedia_sp400_pit
GVA,2019-10-31,wikipedia_sp400_pit
GWR,2019-10-31,wikipedia_sp400_pit
HAE,2019-10-31,wikipedia_sp400_pit
HAIN,2019-10-31,wikipedia_sp400_pit
HCSG,2019-10-31,wikipedia_sp400_pit
HE,2019-10-31,wikipedia_sp400_pit
HELE,2019-10-31,wikipedia_sp400_pit
HIW,2019-10-31,wikipedia_sp400_pit
HNI,2019-10-31,wikipedia_sp400_pit
HOMB,2019-10-31,wikipedia_sp400_pit
HQY,2019-10-31,wikipedia_sp400_pit
HR,2019-10-31,wikipedia_sp400_pit
HRC,2019-10-31,wikipedia_sp400_pit
HUBB,2019-10-31,wikipedia_sp400_pit
HWC,2019-10-31,wikipedia_sp400_pit
IART,2019-10-31,wikipedia_sp400_pit
IBKR,2019-10-31,wikipedia_sp400_pit
IBOC,2019-10-31,wikipedia_sp400_pit
ICUI,2019-10-31,wikipedia_sp400_pit
IDA,2019-10-31,wikipedia_sp400_pit
IDCC,2019-10-31,wikipedia_sp400_pit
INGR,2019-10-31,wikipedia_sp400_pit
INT,2019-10-31,wikipedia_sp400_pit
ITT,2019-10-31,wikipedia_sp400_pit
JACK,2019-10-31,wikipedia_sp400_pit
JBGS,2019-10-31,wikipedia_sp400_pit
JBL,2019-10-31,wikipedia_sp400_pit
JBLU,2019-10-31,wikipedia_sp400_pit
JEF,2019-10-31,wikipedia_sp400_pit
JHG,2019-10-31,wikipedia_sp400_pit
JLL,2019-10-31,wikipedia_sp400_pit
KAR,2019-10-31,wikipedia_sp400_pit
KBH,2019-10-31,wikipedia_sp400_pit
KBR,2019-10-31,wikipedia_sp400_pit
KEX,2019-10-31,wikipedia_sp400_pit
KMPR,2019-10-31,wikipedia_sp400_pit
KMT,2019-10-31,wikipedia_sp400_pit
KNX,2019-10-31,wikipedia_sp400_pit
KRC,2019-10-31,wikipedia_sp400_pit
LAMR,2019-10-31,wikipedia_sp400_pit
LECO,2019-10-31,wikipedia_sp400_pit
LFUS,2019-10-31,wikipedia_sp400_pit
LGND,2019-10-31,wikipedia_sp400_pit
LII,2019-10-31,wikipedia_sp400_pit
LITE,2019-10-31,wikipedia_sp400_pit
LIVN,2019-10-31,wikipedia_sp400_pit
LM,2019-10-31,wikipedia_sp400_pit
LNW,2019-10-31,wikipedia_sp400_pit
LOGM,2019-10-31,wikipedia_sp400_pit
LPT,2019-10-31,wikipedia_sp400_pit
LPX,2019-10-31,wikipedia_sp400_pit
LSI,2019-10-31,wikipedia_sp400_pit
LSTR,2019-10-31,wikipedia_sp400_pit
LYV,2019-10-31,wikipedia_sp400_pit
MAN,2019-10-31,wikipedia_sp400_pit
MANH,2019-10-31,wikipedia_sp400_pit
MASI,2019-10-31,wikipedia_sp400_pit
MAT,2019-10-31,wikipedia_sp400_pit
MCY,2019-10-31,wikipedia_sp400_pit
MD,2019-10-31,wikipedia_sp400_pit
MDP,2019-10-31,wikipedia_sp400_pit
MDRX,2019-10-31,wikipedia_sp400_pit
MDU,2019-10-31,wikipedia_sp400_pit
MKSI,2019-10-31,wikipedia_sp400_pit
MLKN,2019-10-31,wikipedia_sp400_pit
MMS,2019-10-31,wikipedia_sp400_pit
MODG,2019-10-31,wikipedia_sp400_pit
MOH,2019-10-31,wikipedia_sp400_pit
MPW,2019-10-31,wikipedia_sp400_pit
MPWR,2019-10-31,wikipedia_sp400_pit
MRCY,2019-10-31,wikipedia_sp400_pit
MSA,2019-10-31,wikipedia_sp400_pit
MSM,2019-10-31,wikipedia_sp400_pit
MTDR,2019-10-31,wikipedia_sp400_pit
MTX,2019-10-31,wikipedia_sp400_pit
MTZ,2019-10-31,wikipedia_sp400_pit
MUR,2019-10-31,wikipedia_sp400_pit
MUSA,2019-10-31,wikipedia_sp400_pit
MZTI,2019-10-31,wikipedia_sp400_pit
NATI,2019-10-31,wikipedia_sp400_pit
NAVI,2019-10-31,wikipedia_sp400_pit
NDSN,2019-10-31,wikipedia_sp400_pit
NEU,2019-10-31,wikipedia_sp400_pit
NFG,2019-10-31,wikipedia_sp400_pit
NGVT,2019-10-31,wikipedia_sp400_pit
NJR,2019-10-31,wikipedia_sp400_pit
NKTR,2019-10-31,wikipedia_sp400_pit
NNN,2019-10-31,wikipedia_sp400_pit
NSP,2019-10-31,wikipedia_sp400_pit
NTCT,2019-10-31,wikipedia_sp400_pit
NUS,2019-10-31,wikipedia_sp400_pit
NUVA,2019-10-31,wikipedia_sp400_pit
NVT,2019-10-31,wikipedia_sp400_pit
NWE,2019-10-31,wikipedia_sp400_pit
NYT,2019-10-31,wikipedia_sp400_pit
OAS,2019-10-31,wikipedia_sp400_pit
OC,2019-10-31,wikipedia_sp400_pit
ODFL,2019-10-31,wikipedia_sp400_pit
OGE,2019-10-31,wikipedia_sp400_pit
OGS,2019-10-31,wikipedia_sp400_pit
OHI,2019-10-31,wikipedia_sp400_pit
OI,2019-10-31,wikipedia_sp400_pit
OLED,2019-10-31,wikipedia_sp400_pit
OLLI,2019-10-31,wikipedia_sp400_pit
OLN,2019-10-31,wikipedia_sp400_pit
ORI,2019-10-31,wikipedia_sp400_pit
OSK,2019-10-31,wikipedia_sp400_pit
OZK,2019-10-31,wikipedia_sp400_pit
P,2019-10-31,wikipedia_sp400_pit
PACW,2019-10-31,wikipedia_sp400_pit
PB,2019-10-31,wikipedia_sp400_pit
PBF,2019-10-31,wikipedia_sp400_pit
PBH,2019-10-31,wikipedia_sp400_pit
PCH,2019-10-31,wikipedia_sp400_pit
PDCO,2019-10-31,wikipedia_sp400_pit
PEB,2019-10-31,wikipedia_sp400_pit
PEN,2019-10-31,wikipedia_sp400_pit
PENN,2019-10-31,wikipedia_sp400_pit
PII,2019-10-31,wikipedia_sp400_pit
PK,2019-10-31,wikipedia_sp400_pit
PLT,2019-10-31,wikipedia_sp400_pit
PNFP,2019-10-31,wikipedia_sp400_pit
POOL,2019-10-31,wikipedia_sp400_pit
POST,2019-10-31,wikipedia_sp400_pit
PPC,2019-10-31,wikipedia_sp400_pit
PRAH,2019-10-31,wikipedia_sp400_pit
PRG,2019-10-31,wikipedia_sp400_pit
PRI,2019-10-31,wikipedia_sp400_pit
PRSP,2019-10-31,wikipedia_sp400_pit
PSB,2019-10-31,wikipedia_sp400_pit
PTC,2019-10-31,wikipedia_sp400_pit
PTEN,2019-10-31,wikipedia_sp400_pit
PZZA,2019-10-31,wikipedia_sp400_pit
R,2019-10-31,wikipedia_sp400_pit
RAMP,2019-10-31,wikipedia_sp400_pit
REZI,2019-10-31,wikipedia_sp400_pit
RGA,2019-10-31,wikipedia_sp400_pit
RGEN,2019-10-31,wikipedia_sp400_pit
RGLD,2019-10-31,wikipedia_sp400_pit
RIG,2019-10-31,wikipedia_sp400_pit
RNR,2019-10-31,wikipedia_sp400_pit
RPM,2019-10-31,wikipedia_sp400_pit
RRX,2019-10-31,wikipedia_sp400_pit
RS,2019-10-31,wikipedia_sp400_pit
RYN,2019-10-31,wikipedia_sp400_pit
SABR,2019-10-31,wikipedia_sp400_pit
SAFM,2019-10-31,wikipedia_sp400_pit
SAIC,2019-10-31,wikipedia_sp400_pit
SAM,2019-10-31,wikipedia_sp400_pit
SBH,2019-10-31,wikipedia_sp400_pit
SBNY,2019-10-31,wikipedia_sp400_pit
SBRA,2019-10-31,wikipedia_sp400_pit
SCI,2019-10-31,wikipedia_sp400_pit
SEDG,2019-10-31,wikipedia_sp400_pit
SEIC,2019-10-31,wikipedia_sp400_pit
SF,2019-10-31,wikipedia_sp400_pit
