ticker,as_of,source
AA,2026-03-31,wikipedia_sp400_pit
AAL,2026-03-31,wikipedia_sp400_pit
AAON,2026-03-31,wikipedia_sp400_pit
ACI,2026-03-31,wikipedia_sp400_pit
ACM,2026-03-31,wikipedia_sp400_pit
ADC,2026-03-31,wikipedia_sp400_pit
AEIS,2026-03-31,wikipedia_sp400_pit
AFG,2026-03-31,wikipedia_sp400_pit
AGCO,2026-03-31,wikipedia_sp400_pit
AHR,2026-03-31,wikipedia_sp400_pit
AIT,2026-03-31,wikipedia_sp400_pit
ALGM,2026-03-31,wikipedia_sp400_pit
ALK,2026-03-31,wikipedia_sp400_pit
ALLY,2026-03-31,wikipedia_sp400_pit
ALV,2026-03-31,wikipedia_sp400_pit
AM,2026-03-31,wikipedia_sp400_pit
AMG,2026-03-31,wikipedia_sp400_pit
AMH,2026-03-31,wikipedia_sp400_pit
AMKR,2026-03-31,wikipedia_sp400_pit
AN,2026-03-31,wikipedia_sp400_pit
ANF,2026-03-31,wikipedia_sp400_pit
APG,2026-03-31,wikipedia_sp400_pit
APPF,2026-03-31,wikipedia_sp400_pit
AR,2026-03-31,wikipedia_sp400_pit
ARMK,2026-03-31,wikipedia_sp400_pit
ARW,2026-03-31,wikipedia_sp400_pit
ARWR,2026-03-31,wikipedia_sp400_pit
ASB,2026-03-31,wikipedia_sp400_pit
ASH,2026-03-31,wikipedia_sp400_pit
ATI,2026-03-31,wikipedia_sp400_pit
ATR,2026-03-31,wikipedia_sp400_pit
AVAV,2026-03-31,wikipedia_sp400_pit
AVNT,2026-03-31,wikipedia_sp400_pit
AVT,2026-03-31,wikipedia_sp400_pit
AVTR,2026-03-31,wikipedia_sp400_pit
AXTA,2026-03-31,wikipedia_sp400_pit
AYI,2026-03-31,wikipedia_sp400_pit
BAH,2026-03-31,wikipedia_sp400_pit
BBWI,2026-03-31,wikipedia_sp400_pit
BC,2026-03-31,wikipedia_sp400_pit
BCO,2026-03-31,wikipedia_sp400_pit
BDC,2026-03-31,wikipedia_sp400_pit
BHF,2026-03-31,wikipedia_sp400_pit
BILL,2026-03-31,wikipedia_sp400_pit
BIO,2026-03-31,wikipedia_sp400_pit
BJ,2026-03-31,wikipedia_sp400_pit
BKH,2026-03-31,wikipedia_sp400_pit
BLD,2026-03-31,wikipedia_sp400_pit
BLKB,2026-03-31,wikipedia_sp400_pit
BMRN,2026-03-31,wikipedia_sp400_pit
BRBR,2026-03-31,wikipedia_sp400_pit
BRKR,2026-03-31,wikipedia_sp400_pit
BROS,2026-03-31,wikipedia_sp400_pit
BRX,2026-03-31,wikipedia_sp400_pit
BSY,2026-03-31,wikipedia_sp400_pit
BURL,2026-03-31,wikipedia_sp400_pit
BWA,2026-03-31,wikipedia_sp400_pit
BWXT,2026-03-31,wikipedia_sp400_pit
BYD,2026-03-31,wikipedia_sp400_pit
CACI,2026-03-31,wikipedia_sp400_pit
CAR,2026-03-31,wikipedia_sp400_pit
CART,2026-03-31,wikipedia_sp400_pit
CASY,2026-03-31,wikipedia_sp400_pit
CAVA,2026-03-31,wikipedia_sp400_pit
CBSH,2026-03-31,wikipedia_sp400_pit
CBT,2026-03-31,wikipedia_sp400_pit
CCK,2026-03-31,wikipedia_sp400_pit
CDP,2026-03-31,wikipedia_sp400_pit
CELH,2026-03-31,wikipedia_sp400_pit
CFR,2026-03-31,wikipedia_sp400_pit
CG,2026-03-31,wikipedia_sp400_pit
CGNX,2026-03-31,wikipedia_sp400_pit
CHDN,2026-03-31,wikipedia_sp400_pit
CHE,2026-03-31,wikipedia_sp400_pit
CHH,2026-03-31,wikipedia_sp400_pit
CHRD,2026-03-31,wikipedia_sp400_pit
CHWY,2026-03-31,wikipedia_sp400_pit
CLF,2026-03-31,wikipedia_sp400_pit
CLH,2026-03-31,wikipedia_sp400_pit
CMC,2026-03-31,wikipedia_sp400_pit
CNH,2026-03-31,wikipedia_sp400_pit
CNM,2026-03-31,wikipedia_sp400_pit
CNO,2026-03-31,wikipedia_sp400_pit
CNX,2026-03-31,wikipedia_sp400_pit
CNXC,2026-03-31,wikipedia_sp400_pit
COKE,2026-03-31,wikipedia_sp400_pit
COLB,2026-03-31,wikipedia_sp400_pit
COLM,2026-03-31,wikipedia_sp400_pit
COTY,2026-03-31,wikipedia_sp400_pit
CPRI,2026-03-31,wikipedia_sp400_pit
CR,2026-03-31,wikipedia_sp400_pit
CRBG,2026-03-31,wikipedia_sp400_pit
CROX,2026-03-31,wikipedia_sp400_pit
CRS,2026-03-31,wikipedia_sp400_pit
CRUS,2026-03-31,wikipedia_sp400_pit
CSL,2026-03-31,wikipedia_sp400_pit
CTRE,2026-03-31,wikipedia_sp400_pit
CUBE,2026-03-31,wikipedia_sp400_pit
CUZ,2026-03-31,wikipedia_sp400_pit
CVLT,2026-03-31,wikipedia_sp400_pit
CW,2026-03-31,wikipedia_sp400_pit
