ticker,as_of,source
AA,2023-03-31,wikipedia_sp400_pit
ACHC,2023-03-31,wikipedia_sp400_pit
ACIW,2023-03-31,wikipedia_sp400_pit
ACM,2023-03-31,wikipedia_sp400_pit
ADC,2023-03-31,wikipedia_sp400_pit
ADNT,2023-03-31,wikipedia_sp400_pit
AFG,2023-03-31,wikipedia_sp400_pit
AGCO,2023-03-31,wikipedia_sp400_pit
AIRC,2023-03-31,wikipedia_sp400_pit
ALE,2023-03-31,wikipedia_sp400_pit
ALGM,2023-03-31,wikipedia_sp400_pit
ALV,2023-03-31,wikipedia_sp400_pit
AM,2023-03-31,wikipedia_sp400_pit
AMED,2023-03-31,wikipedia_sp400_pit
AMG,2023-03-31,wikipedia_sp400_pit
AMKR,2023-03-31,wikipedia_sp400_pit
AN,2023-03-31,wikipedia_sp400_pit
AR,2023-03-31,wikipedia_sp400_pit
ARMK,2023-03-31,wikipedia_sp400_pit
ARW,2023-03-31,wikipedia_sp400_pit
ARWR,2023-03-31,wikipedia_sp400_pit
ASB,2023-03-31,wikipedia_sp400_pit
ASGN,2023-03-31,wikipedia_sp400_pit
ASH,2023-03-31,wikipedia_sp400_pit
ATR,2023-03-31,wikipedia_sp400_pit
AVNT,2023-03-31,wikipedia_sp400_pit
AVT,2023-03-31,wikipedia_sp400_pit
AXON,2023-03-31,wikipedia_sp400_pit
AXTA,2023-03-31,wikipedia_sp400_pit
AYI,2023-03-31,wikipedia_sp400_pit
AZPN,2023-03-31,wikipedia_sp400_pit
AZTA,2023-03-31,wikipedia_sp400_pit
BC,2023-03-31,wikipedia_sp400_pit
BCO,2023-03-31,wikipedia_sp400_pit
BDC,2023-03-31,wikipedia_sp400_pit
BHF,2023-03-31,wikipedia_sp400_pit
BJ,2023-03-31,wikipedia_sp400_pit
BKH,2023-03-31,wikipedia_sp400_pit
BLD,2023-03-31,wikipedia_sp400_pit
BLDR,2023-03-31,wikipedia_sp400_pit
BLKB,2023-03-31,wikipedia_sp400_pit
BOH,2023-03-31,wikipedia_sp400_pit
BRBR,2023-03-31,wikipedia_sp400_pit
BRKR,2023-03-31,wikipedia_sp400_pit
BRX,2023-03-31,wikipedia_sp400_pit
BYD,2023-03-31,wikipedia_sp400_pit
CABO,2023-03-31,wikipedia_sp400_pit
CACI,2023-03-31,wikipedia_sp400_pit
CADE,2023-03-31,wikipedia_sp400_pit
CALX,2023-03-31,wikipedia_sp400_pit
CAR,2023-03-31,wikipedia_sp400_pit
CASY,2023-03-31,wikipedia_sp400_pit
