ticker,as_of,source
ACC,2020-05-29,wikipedia_sp400_pit
ACHC,2020-05-29,wikipedia_sp400_pit
ACIW,2020-05-29,wikipedia_sp400_pit
ACM,2020-05-29,wikipedia_sp400_pit
ADNT,2020-05-29,wikipedia_sp400_pit
AEO,2020-05-29,wikipedia_sp400_pit
AFG,2020-05-29,wikipedia_sp400_pit
AGCO,2020-05-29,wikipedia_sp400_pit
ALE,2020-05-29,wikipedia_sp400_pit
AM,2020-05-29,wikipedia_sp400_pit
AMCX,2020-05-29,wikipedia_sp400_pit
AMED,2020-05-29,wikipedia_sp400_pit
AMG,2020-05-29,wikipedia_sp400_pit
AN,2020-05-29,wikipedia_sp400_pit
ARW,2020-05-29,wikipedia_sp400_pit
ARWR,2020-05-29,wikipedia_sp400_pit
ASB,2020-05-29,wikipedia_sp400_pit
ASGN,2020-05-29,wikipedia_sp400_pit
ASH,2020-05-29,wikipedia_sp400_pit
ATGE,2020-05-29,wikipedia_sp400_pit
ATI,2020-05-29,wikipedia_sp400_pit
ATR,2020-05-29,wikipedia_sp400_pit
AVNS,2020-05-29,wikipedia_sp400_pit
AVNT,2020-05-29,wikipedia_sp400_pit
AVT,2020-05-29,wikipedia_sp400_pit
AXON,2020-05-29,wikipedia_sp400_pit
AYI,2020-05-29,wikipedia_sp400_pit
AZTA,2020-05-29,wikipedia_sp400_pit
BBBY,2020-05-29,wikipedia_sp400_pit
BC,2020-05-29,wikipedia_sp400_pit
BCO,2020-05-29,wikipedia_sp400_pit
BDC,2020-05-29,wikipedia_sp400_pit
BFH,2020-05-29,wikipedia_sp400_pit
BHF,2020-05-29,wikipedia_sp400_pit
BIO,2020-05-29,wikipedia_sp400_pit
BJ,2020-05-29,wikipedia_sp400_pit
BKH,2020-05-29,wikipedia_sp400_pit
BLKB,2020-05-29,wikipedia_sp400_pit
BOH,2020-05-29,wikipedia_sp400_pit
BRO,2020-05-29,wikipedia_sp400_pit
BRX,2020-05-29,wikipedia_sp400_pit
BYD,2020-05-29,wikipedia_sp400_pit
CABO,2020-05-29,wikipedia_sp400_pit
CACI,2020-05-29,wikipedia_sp400_pit
CADE,2020-05-29,wikipedia_sp400_pit
CAKE,2020-05-29,wikipedia_sp400_pit
CAR,2020-05-29,wikipedia_sp400_pit
CASY,2020-05-29,wikipedia_sp400_pit
CATY,2020-05-29,wikipedia_sp400_pit
CBRL,2020-05-29,wikipedia_sp400_pit
CBSH,2020-05-29,wikipedia_sp400_pit
CBT,2020-05-29,wikipedia_sp400_pit
CC,2020-05-29,wikipedia_sp400_pit
CCMP,2020-05-29,wikipedia_sp400_pit
CDAY,2020-05-29,wikipedia_sp400_pit
CDK,2020-05-29,wikipedia_sp400_pit
CDP,2020-05-29,wikipedia_sp400_pit
CFR,2020-05-29,wikipedia_sp400_pit
CGNX,2020-05-29,wikipedia_sp400_pit
CHDN,2020-05-29,wikipedia_sp400_pit
CHE,2020-05-29,wikipedia_sp400_pit
CHH,2020-05-29,wikipedia_sp400_pit
CHX,2020-05-29,wikipedia_sp400_pit
CIEN,2020-05-29,wikipedia_sp400_pit
CIT,2020-05-29,wikipedia_sp400_pit
CLGX,2020-05-29,wikipedia_sp400_pit
CLH,2020-05-29,wikipedia_sp400_pit
CLI,2020-05-29,wikipedia_sp400_pit
CMC,2020-05-29,wikipedia_sp400_pit
CMD,2020-05-29,wikipedia_sp400_pit
CMP,2020-05-29,wikipedia_sp400_pit
CNK,2020-05-29,wikipedia_sp400_pit
CNO,2020-05-29,wikipedia_sp400_pit
CNX,2020-05-29,wikipedia_sp400_pit
COHR,2020-05-29,wikipedia_sp400_pit
COLM,2020-05-29,wikipedia_sp400_pit
CONE,2020-05-29,wikipedia_sp400_pit
COR,2020-05-29,wikipedia_sp400_pit
CPT,2020-05-29,wikipedia_sp400_pit
CRI,2020-05-29,wikipedia_sp400_pit
CRL,2020-05-29,wikipedia_sp400_pit
CRS,2020-05-29,wikipedia_sp400_pit
CRUS,2020-05-29,wikipedia_sp400_pit
CSL,2020-05-29,wikipedia_sp400_pit
CTLT,2020-05-29,wikipedia_sp400_pit
CUZ,2020-05-29,wikipedia_sp400_pit
CVLT,2020-05-29,wikipedia_sp400_pit
CW,2020-05-29,wikipedia_sp400_pit
CXT,2020-05-29,wikipedia_sp400_pit
CXW,2020-05-29,wikipedia_sp400_pit
CZR,2020-05-29,wikipedia_sp400_pit
DAN,2020-05-29,wikipedia_sp400_pit
DAR,2020-05-29,wikipedia_sp400_pit
DCI,2020-05-29,wikipedia_sp400_pit
DDS,2020-05-29,wikipedia_sp400_pit
DECK,2020-05-29,wikipedia_sp400_pit
DEI,2020-05-29,wikipedia_sp400_pit
DINO,2020-05-29,wikipedia_sp400_pit
DKS,2020-05-29,wikipedia_sp400_pit
DLPH,2020-05-29,wikipedia_sp400_pit
DLX,2020-05-29,wikipedia_sp400_pit
DNKN,2020-05-29,wikipedia_sp400_pit
DNOW,2020-05-29,wikipedia_sp400_pit
DOC,2020-05-29,wikipedia_sp400_pit
DY,2020-05-29,wikipedia_sp400_pit
EAT,2020-05-29,wikipedia_sp400_pit
EGP,2020-05-29,wikipedia_sp400_pit
EHC,2020-05-29,wikipedia_sp400_pit
EME,2020-05-29,wikipedia_sp400_pit
ENOV,2020-05-29,wikipedia_sp400_pit
ENPH,2020-05-29,wikipedia_sp400_pit
ENR,2020-05-29,wikipedia_sp400_pit
ENS,2020-05-29,wikipedia_sp400_pit
EPC,2020-05-29,wikipedia_sp400_pit
EPR,2020-05-29,wikipedia_sp400_pit
EQT,2020-05-29,wikipedia_sp400_pit
ESNT,2020-05-29,wikipedia_sp400_pit
ETRN,2020-05-29,wikipedia_sp400_pit
ETSY,2020-05-29,wikipedia_sp400_pit
EV,2020-05-29,wikipedia_sp400_pit
EVR,2020-05-29,wikipedia_sp400_pit
EWBC,2020-05-29,wikipedia_sp400_pit
EXE,2020-05-29,wikipedia_sp400_pit
EXEL,2020-05-29,wikipedia_sp400_pit
EXP,2020-05-29,wikipedia_sp400_pit
FAF,2020-05-29,wikipedia_sp400_pit
FCFS,2020-05-29,wikipedia_sp400_pit
FCN,2020-05-29,wikipedia_sp400_pit
FDS,2020-05-29,wikipedia_sp400_pit
FFIN,2020-05-29,wikipedia_sp400_pit
FHI,2020-05-29,wikipedia_sp400_pit
FHN,2020-05-29,wikipedia_sp400_pit
FICO,2020-05-29,wikipedia_sp400_pit
FIVE,2020-05-29,wikipedia_sp400_pit
FL,2020-05-29,wikipedia_sp400_pit
FLG,2020-05-29,wikipedia_sp400_pit
FLO,2020-05-29,wikipedia_sp400_pit
FLR,2020-05-29,wikipedia_sp400_pit
FNB,2020-05-29,wikipedia_sp400_pit
FR,2020-05-29,wikipedia_sp400_pit
FSLR,2020-05-29,wikipedia_sp400_pit
FULT,2020-05-29,wikipedia_sp400_pit
GAP,2020-05-29,wikipedia_sp400_pit
GATX,2020-05-29,wikipedia_sp400_pit
GEF,2020-05-29,wikipedia_sp400_pit
GEO,2020-05-29,wikipedia_sp400_pit
GGG,2020-05-29,wikipedia_sp400_pit
GHC,2020-05-29,wikipedia_sp400_pit
GMED,2020-05-29,wikipedia_sp400_pit
GNRC,2020-05-29,wikipedia_sp400_pit
GNTX,2020-05-29,wikipedia_sp400_pit
GNW,2020-05-29,wikipedia_sp400_pit
GRUB,2020-05-29,wikipedia_sp400_pit
GT,2020-05-29,wikipedia_sp400_pit
GTM,2020-05-29,wikipedia_sp400_pit
HAE,2020-05-29,wikipedia_sp400_pit
