ticker,as_of,source
AA,2025-03-31,wikipedia_sp400_pit
AAL,2025-03-31,wikipedia_sp400_pit
AAON,2025-03-31,wikipedia_sp400_pit
ACHC,2025-03-31,wikipedia_sp400_pit
ACI,2025-03-31,wikipedia_sp400_pit
ACM,2025-03-31,wikipedia_sp400_pit
ADC,2025-03-31,wikipedia_sp400_pit
AFG,2025-03-31,wikipedia_sp400_pit
AGCO,2025-03-31,wikipedia_sp400_pit
AIT,2025-03-31,wikipedia_sp400_pit
ALE,2025-03-31,wikipedia_sp400_pit
ALGM,2025-03-31,wikipedia_sp400_pit
ALK,2025-03-31,wikipedia_sp400_pit
ALLY,2025-03-31,wikipedia_sp400_pit
ALV,2025-03-31,wikipedia_sp400_pit
AM,2025-03-31,wikipedia_sp400_pit
AMED,2025-03-31,wikipedia_sp400_pit
AMG,2025-03-31,wikipedia_sp400_pit
AMH,2025-03-31,wikipedia_sp400_pit
AMKR,2025-03-31,wikipedia_sp400_pit
AN,2025-03-31,wikipedia_sp400_pit
ANF,2025-03-31,wikipedia_sp400_pit
APPF,2025-03-31,wikipedia_sp400_pit
AR,2025-03-31,wikipedia_sp400_pit
ARMK,2025-03-31,wikipedia_sp400_pit
ARW,2025-03-31,wikipedia_sp400_pit
ASB,2025-03-31,wikipedia_sp400_pit
ASGN,2025-03-31,wikipedia_sp400_pit
ASH,2025-03-31,wikipedia_sp400_pit
ATI,2025-03-31,wikipedia_sp400_pit
ATR,2025-03-31,wikipedia_sp400_pit
AVNT,2025-03-31,wikipedia_sp400_pit
AVT,2025-03-31,wikipedia_sp400_pit
AVTR,2025-03-31,wikipedia_sp400_pit
AXTA,2025-03-31,wikipedia_sp400_pit
AYI,2025-03-31,wikipedia_sp400_pit
BBWI,2025-03-31,wikipedia_sp400_pit
BC,2025-03-31,wikipedia_sp400_pit
BCO,2025-03-31,wikipedia_sp400_pit
BDC,2025-03-31,wikipedia_sp400_pit
BERY,2025-03-31,wikipedia_sp400_pit
BHF,2025-03-31,wikipedia_sp400_pit
BILL,2025-03-31,wikipedia_sp400_pit
BIO,2025-03-31,wikipedia_sp400_pit
BJ,2025-03-31,wikipedia_sp400_pit
BKH,2025-03-31,wikipedia_sp400_pit
